"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",10,1,1,10,100,22,30,50,20,6
"2",10,1,2,10,100,22,28,50,22,6
"3",10,1,3,10,100,22,18,30,12,6
"4",10,1,4,10,100,22,14,30,16,6
"5",10,1,5,10,100,22,23,20,3,6
"6",10,1,6,10,100,22,24,20,4,6
"7",10,1,7,10,100,22,22,21,1,6
"8",10,1,8,10,100,22,27,21,6,6
"9",10,1,9,10,100,22,17,22,5,6
"10",10,1,10,10,100,22,20,22,2,6
"11",10,2,1,7,1,77,78,50,28,7
"12",10,2,2,7,1,77,75,75,0,7
"13",10,2,3,7,1,77,77,75,2,7
"14",10,2,4,7,1,77,77,75,2,7
"15",10,2,5,7,1,77,77,76,1,7
"16",10,2,6,7,1,77,77,76,1,7
"17",10,2,7,7,1,77,78,77,1,7
"18",10,3,1,5,1,32,33,49,16,7
"19",10,3,2,5,1,32,32,33,1,7
"20",10,3,3,5,1,32,31,32,1,7
"21",10,3,4,5,1,32,32,32,0,7
"22",10,3,5,5,1,32,32,32,0,7
"23",10,4,1,4,10,21,22,50,28,4
"24",10,4,2,4,10,21,19,22,3,4
"25",10,4,3,4,10,21,25,22,3,4
"26",10,4,4,4,10,21,18,20,2,4
"27",10,5,1,4,1,56,57,48,9,6
"28",10,5,2,4,1,56,57,56,1,6
"29",10,5,3,4,1,56,56,58,2,6
"30",10,5,4,4,1,56,57,58,1,6
"31",10,6,1,7,1,52,51,49,2,6
"32",10,6,2,7,1,52,53,49,4,6
"33",10,6,3,7,1,52,51,50,1,6
"34",10,6,4,7,1,52,53,51,2,6
"35",10,6,5,7,1,52,53,52,1,6
"36",10,6,6,7,1,52,52,52,0,6
"37",10,6,7,7,1,52,53,52,1,6
"38",10,7,1,4,1,33,32,48,16,6
"39",10,7,2,4,1,33,32,33,1,6
"40",10,7,3,4,1,33,33,33,0,6
"41",10,7,4,4,1,33,32,32,0,6
"42",10,8,1,3,0.1,38,37,48,11,5
"43",10,8,2,3,0.1,38,38,32,6,5
"44",10,8,3,3,0.1,38,38,38,0,5
"45",10,9,1,4,10,27,24,52,28,3
"46",10,9,2,4,10,27,24,25,1,3
"47",10,9,3,4,10,27,29,24,5,3
"48",10,9,4,4,10,27,27,26,1,3
"49",10,10,1,6,1,77,78,55,23,4
"50",10,10,2,6,1,77,80,75,5,4
"51",10,10,3,6,1,77,75,78,3,4
"52",10,10,4,6,1,77,78,77,1,4
"53",10,10,5,6,1,77,77,78,1,4
"54",10,10,6,6,1,77,77,77,0,4
