"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",40,1,1,3,1000,64,88,59,29,5
"2",40,1,2,3,1000,64,72,57,15,5
"3",40,1,3,3,1000,64,63,72,9,5
"4",40,2,1,3,1000,39,53,65,12,6
"5",40,2,2,3,1000,39,49,80,31,6
"6",40,2,3,3,1000,39,40,91,51,6
"7",40,3,1,3,1,64,64,79,15,5
"8",40,3,2,3,1,64,65,64,1,5
"9",40,3,3,3,1,64,64,86,22,5
"10",40,4,1,3,10,31,29,58,29,5
"11",40,4,2,3,10,31,35,37,2,5
"12",40,4,3,3,10,31,29,84,55,5
"13",40,5,1,3,10,74,77,58,19,5
"14",40,5,2,3,10,74,73,72,1,5
"15",40,5,3,3,10,74,78,61,17,5
"16",40,6,1,3,1000,72,51,66,15,5
"17",40,6,2,3,1000,72,50,77,27,5
"18",40,6,3,3,1000,72,64,59,5,5
"19",40,7,1,3,100,22,15,63,48,6
"20",40,7,2,3,100,22,25,66,41,6
"21",40,7,3,3,100,22,33,82,49,6
"22",40,8,1,3,1,36,36,70,34,3
"23",40,8,2,3,1,36,38,62,24,3
"24",40,8,3,3,1,36,36,76,40,3
"25",40,9,1,3,10,42,39,72,33,5
"26",40,9,2,3,10,42,38,67,29,5
"27",40,9,3,3,10,42,48,72,24,5
"28",40,10,1,3,10,61,61,66,5,5
"29",40,10,2,3,10,61,57,81,24,5
"30",40,10,3,3,10,61,65,61,4,5
"31",40,11,1,3,100,34,20,62,42,6
"32",40,11,2,3,100,34,51,76,25,6
"33",40,11,3,3,100,34,36,66,30,6
"34",40,12,1,3,1000,49,69,75,6,5
"35",40,12,2,3,1000,49,46,68,22,5
"36",40,12,3,3,1000,49,63,78,15,5
"37",40,13,1,3,100,77,72,69,3,5
"38",40,13,2,3,100,77,78,70,8,5
"39",40,13,3,3,100,77,80,75,5,5
"40",40,14,1,3,10,33,33,78,45,5
"41",40,14,2,3,10,33,29,70,41,5
"42",40,14,3,3,10,33,30,85,55,5
"43",40,15,1,3,1000,37,40,77,37,6
"44",40,15,2,3,1000,37,38,86,48,6
"45",40,15,3,3,1000,37,73,97,24,6
"46",40,16,1,3,1000,37,38,80,42,3
"47",40,16,2,3,1000,37,35,80,45,3
"48",40,16,3,3,1000,37,90,82,8,3
"49",40,17,1,3,1000,49,82,76,6,6
"50",40,17,2,3,1000,49,24,89,65,6
"51",40,17,3,3,1000,49,8,78,70,6
"52",40,18,1,3,10,69,66,75,9,6
"53",40,18,2,3,10,69,73,93,20,6
"54",40,18,3,3,10,69,69,84,15,6
"55",40,19,1,3,0.1,27,27,85,58,7
"56",40,19,2,3,0.1,27,27,89,62,7
"57",40,19,3,3,0.1,27,26,91,65,7
"58",40,20,1,3,1000,74,57,87,30,6
"59",40,20,2,3,1000,74,62,78,16,6
"60",40,20,3,3,1000,74,95,67,28,6
"61",40,21,1,3,100,77,87,80,7,6
"62",40,21,2,3,100,77,77,87,10,6
"63",40,21,3,3,100,77,65,78,13,6
"64",40,22,1,3,1000,58,61,81,20,6
"65",40,22,2,3,1000,58,44,80,36,6
"66",40,22,3,3,1000,58,37,88,51,6
"67",40,23,1,3,10,62,63,82,19,6
"68",40,23,2,3,10,62,63,68,5,6
"69",40,23,3,3,10,62,63,89,26,6
"70",40,24,1,3,100,78,85,84,1,6
"71",40,24,2,3,100,78,57,28,29,6
"72",40,24,3,3,100,78,93,24,69,6
"73",40,25,1,3,1,72,72,68,4,5
"74",40,25,2,3,1,72,72,76,4,5
"75",40,25,3,3,1,72,73,67,6,5
"76",40,26,1,3,1000,46,12,69,57,6
"77",40,26,2,3,1000,46,8,81,73,6
"78",40,26,3,3,1000,46,5,88,83,6
"79",40,27,1,3,1,31,32,67,35,3
"80",40,27,2,3,1,31,31,87,56,3
"81",40,27,3,3,1,31,30,83,53,3
"82",40,28,1,3,100,29,20,79,59,6
"83",40,28,2,3,100,29,28,87,59,6
"84",40,28,3,3,100,29,27,88,61,6
"85",40,29,1,3,0.1,60,60,68,8,6
"86",40,29,2,3,0.1,60,60,81,21,6
"87",40,29,3,3,0.1,60,60,89,29,6
"88",40,30,1,3,0.1,62,62,76,14,6
"89",40,30,2,3,0.1,62,62,78,16,6
"90",40,30,3,3,0.1,62,62,88,26,6
"91",40,31,1,3,10,51,51,74,23,6
"92",40,31,2,3,10,51,47,82,35,6
"93",40,31,3,3,10,51,47,77,30,6
"94",40,32,1,3,10,62,65,63,2,6
"95",40,32,2,3,10,62,64,77,13,6
"96",40,32,3,3,10,62,59,81,22,6
"97",40,33,1,3,0.1,24,24,70,46,6
"98",40,33,2,3,0.1,24,24,78,54,6
"99",40,33,3,3,0.1,24,24,83,59,6
"100",40,34,1,3,100,38,44,62,18,7
"101",40,34,2,3,100,38,25,86,61,7
"102",40,34,3,3,100,38,35,79,44,7
"103",40,35,1,3,0.1,33,33,64,31,6
"104",40,35,2,3,0.1,33,33,72,39,6
"105",40,35,3,3,0.1,33,33,76,43,6
"106",40,36,1,3,10,26,25,68,43,6
"107",40,36,2,3,10,26,29,77,48,6
"108",40,36,3,3,10,26,25,76,51,6
"109",40,37,1,3,10,75,79,69,10,6
"110",40,37,2,3,10,75,75,69,6,6
"111",40,37,3,3,10,75,73,72,1,6
"112",40,38,1,3,1,21,21,65,44,6
"113",40,38,2,3,1,21,22,75,53,6
"114",40,38,3,3,1,21,20,71,51,6
"115",40,39,1,3,1000,38,33,73,40,6
"116",40,39,2,3,1000,38,46,70,24,6
"117",40,39,3,3,1000,38,96,74,22,6
"118",40,40,1,2,1000,50,45,70,25,6
"119",40,40,2,2,1000,50,48,73,25,6
