"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",2,1,1,33,0.1,33,33,68,35,6
"2",2,1,2,33,0.1,33,34,67,33,6
"3",2,1,3,33,0.1,33,33,33,0,6
"4",2,1,4,33,0.1,33,33,26,7,6
"5",2,1,5,33,0.1,33,33,33,0,6
"6",2,1,6,33,0.1,33,33,63,30,6
"7",2,1,7,33,0.1,33,33,60,27,6
"8",2,1,8,33,0.1,33,33,34,1,6
"9",2,1,9,33,0.1,33,33,62,29,6
"10",2,1,10,33,0.1,33,33,35,2,6
"11",2,1,11,33,0.1,33,33,64,31,6
"12",2,1,12,33,0.1,33,33,66,33,6
"13",2,1,13,33,0.1,33,33,31,2,6
"14",2,1,14,33,0.1,33,33,40,7,6
"15",2,1,15,33,0.1,33,32,24,8,6
"16",2,1,16,33,0.1,33,33,27,6,6
"17",2,1,17,33,0.1,33,33,31,2,6
"18",2,1,18,33,0.1,33,33,33,0,6
"19",2,1,19,33,0.1,33,34,33,1,6
"20",2,1,20,33,0.1,33,33,33,0,6
"21",2,1,21,33,0.1,33,33,32,1,6
"22",2,1,22,33,0.1,33,33,37,4,6
"23",2,1,23,33,0.1,33,33,33,0,6
"24",2,1,24,33,0.1,33,33,35,2,6
"25",2,1,25,33,0.1,33,33,58,25,6
"26",2,1,26,33,0.1,33,33,66,33,6
"27",2,1,27,33,0.1,33,32,35,3,6
"28",2,1,28,33,0.1,33,33,37,4,6
"29",2,1,29,33,0.1,33,33,74,41,6
"30",2,1,30,33,0.1,33,34,29,5,6
"31",2,1,31,33,0.1,33,33,70,37,6
"32",2,1,32,33,0.1,33,33,35,2,6
"33",2,1,33,33,0.1,33,33,34,1,6
"34",2,2,1,23,1000,51,66,64,2,6
"35",2,2,2,23,1000,51,49,66,17,6
"36",2,2,3,23,1000,51,47,42,5,6
"37",2,2,4,23,1000,51,73,64,9,6
"38",2,2,5,23,1000,51,82,71,11,6
"39",2,2,6,23,1000,51,51,84,33,6
"40",2,2,7,23,1000,51,7,60,53,6
"41",2,2,8,23,1000,51,90,28,62,6
"42",2,2,9,23,1000,51,36,72,36,6
"43",2,2,10,23,1000,51,61,65,4,6
"44",2,2,11,23,1000,51,59,66,7,6
"45",2,2,12,23,1000,51,50,39,11,6
"46",2,2,13,23,1000,51,42,41,1,6
"47",2,2,14,23,1000,51,39,60,21,6
"48",2,2,15,23,1000,51,70,62,8,6
"49",2,2,16,23,1000,51,24,66,42,6
"50",2,2,17,23,1000,51,78,65,13,6
"51",2,2,18,23,1000,51,40,75,35,6
"52",2,2,19,23,1000,51,4,58,54,6
"53",2,2,20,23,1000,51,94,59,35,6
"54",2,2,21,23,1000,51,4,68,64,6
"55",2,2,22,23,1000,51,95,63,32,6
"56",2,2,23,23,1000,51,75,74,1,6
