"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",2,1,1,4,1000,59,87,27,60,2
"2",2,1,2,4,1000,59,89,77,12,2
"3",2,1,3,4,1000,59,33,77,44,2
"4",2,1,4,4,1000,59,4,62,58,2
"5",2,2,1,89,1,20,20,74,54,7
"6",2,2,2,89,1,20,21,23,2,7
"7",2,2,3,89,1,20,22,21,1,7
"8",2,2,4,89,1,20,22,22,0,7
"9",2,2,5,89,1,20,18,20,2,7
"10",2,2,6,89,1,20,21,17,4,7
"11",2,2,7,89,1,20,20,21,1,7
"12",2,2,8,89,1,20,20,22,2,7
"13",2,2,9,89,1,20,22,22,0,7
"14",2,2,10,89,1,20,20,23,3,7
"15",2,2,11,89,1,20,19,22,3,7
"16",2,2,12,89,1,20,19,19,0,7
"17",2,2,13,89,1,20,20,20,0,7
"18",2,2,14,89,1,20,20,21,1,7
"19",2,2,15,89,1,20,20,22,2,7
"20",2,2,16,89,1,20,20,22,2,7
"21",2,2,17,89,1,20,20,19,1,7
"22",2,2,18,89,1,20,18,20,2,7
"23",2,2,19,89,1,20,22,19,3,7
"24",2,2,20,89,1,20,21,21,0,7
"25",2,2,21,89,1,20,20,19,1,7
"26",2,2,22,89,1,20,19,20,1,7
"27",2,2,23,89,1,20,21,20,1,7
"28",2,2,24,89,1,20,19,18,1,7
"29",2,2,25,89,1,20,21,21,0,7
"30",2,2,26,89,1,20,19,21,2,7
"31",2,2,27,89,1,20,20,20,0,7
"32",2,2,28,89,1,20,21,21,0,7
"33",2,2,29,89,1,20,20,22,2,7
"34",2,2,30,89,1,20,21,18,3,7
"35",2,2,31,89,1,20,21,21,0,7
"36",2,2,32,89,1,20,21,22,1,7
"37",2,2,33,89,1,20,21,22,1,7
"38",2,2,34,89,1,20,20,19,1,7
"39",2,2,35,89,1,20,20,20,0,7
"40",2,2,36,89,1,20,21,20,1,7
"41",2,2,37,89,1,20,19,19,0,7
"42",2,2,38,89,1,20,21,21,0,7
"43",2,2,39,89,1,20,21,18,3,7
"44",2,2,40,89,1,20,19,20,1,7
"45",2,2,41,89,1,20,20,22,2,7
"46",2,2,42,89,1,20,21,21,0,7
"47",2,2,43,89,1,20,22,22,0,7
"48",2,2,44,89,1,20,20,18,2,7
"49",2,2,45,89,1,20,21,20,1,7
"50",2,2,46,89,1,20,18,18,0,7
"51",2,2,47,89,1,20,21,20,1,7
"52",2,2,48,89,1,20,18,20,2,7
"53",2,2,49,89,1,20,20,22,2,7
"54",2,2,50,89,1,20,19,19,0,7
"55",2,2,51,89,1,20,19,21,2,7
"56",2,2,52,89,1,20,19,21,2,7
"57",2,2,53,89,1,20,19,22,3,7
"58",2,2,54,89,1,20,20,19,1,7
"59",2,2,55,89,1,20,20,20,0,7
"60",2,2,56,89,1,20,20,20,0,7
"61",2,2,57,89,1,20,22,20,2,7
"62",2,2,58,89,1,20,21,18,3,7
"63",2,2,59,89,1,20,20,20,0,7
"64",2,2,60,89,1,20,20,23,3,7
"65",2,2,61,89,1,20,20,18,2,7
"66",2,2,62,89,1,20,19,19,0,7
"67",2,2,63,89,1,20,21,21,0,7
"68",2,2,64,89,1,20,21,20,1,7
"69",2,2,65,89,1,20,21,18,3,7
"70",2,2,66,89,1,20,20,21,1,7
"71",2,2,67,89,1,20,19,19,0,7
"72",2,2,68,89,1,20,19,20,1,7
"73",2,2,69,89,1,20,20,20,0,7
"74",2,2,70,89,1,20,22,21,1,7
"75",2,2,71,89,1,20,20,22,2,7
"76",2,2,72,89,1,20,19,18,1,7
"77",2,2,73,89,1,20,19,18,1,7
"78",2,2,74,89,1,20,22,21,1,7
"79",2,2,75,89,1,20,20,18,2,7
"80",2,2,76,89,1,20,18,18,0,7
"81",2,2,77,89,1,20,21,18,3,7
"82",2,2,78,89,1,20,20,22,2,7
"83",2,2,79,89,1,20,20,18,2,7
"84",2,2,80,89,1,20,19,21,2,7
"85",2,2,81,89,1,20,20,19,1,7
"86",2,2,82,89,1,20,22,21,1,7
"87",2,2,83,89,1,20,20,22,2,7
"88",2,2,84,89,1,20,19,22,3,7
"89",2,2,85,89,1,20,19,18,1,7
"90",2,2,86,89,1,20,19,22,3,7
"91",2,2,87,89,1,20,21,21,0,7
"92",2,2,88,89,1,20,22,20,2,7
"93",2,2,89,89,1,20,19,20,1,7
