"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",11,1,1,7,1000,42,36,51,15,2
"2",11,1,2,7,1000,42,68,40,28,2
"3",11,1,3,7,1000,42,7,55,48,2
"4",11,1,4,7,1000,42,3,30,27,2
"5",11,1,5,7,1000,42,23,15,8,2
"6",11,1,6,7,1000,42,28,20,8,2
"7",11,1,7,7,1000,42,63,28,35,2
"8",11,2,1,6,1000,26,33,51,18,3
"9",11,2,2,6,1000,26,39,30,9,3
"10",11,2,3,6,1000,26,43,35,8,3
"11",11,2,4,6,1000,26,32,40,8,3
"12",11,2,5,6,1000,26,59,35,24,3
"13",11,2,6,6,1000,26,64,37,27,3
"14",11,3,1,8,1000,62,65,50,15,4
"15",11,3,2,8,1000,62,96,60,36,4
"16",11,3,3,8,1000,62,82,75,7,4
"17",11,3,4,8,1000,62,44,75,31,4
"18",11,3,5,8,1000,62,78,70,8,4
"19",11,3,6,8,1000,62,96,70,26,4
"20",11,3,7,8,1000,62,85,75,10,4
"21",11,3,8,8,1000,62,40,80,40,4
"22",11,4,1,10,0.1,55,55,51,4,7
"23",11,4,2,10,0.1,55,55,52,3,7
"24",11,4,3,10,0.1,55,55,53,2,7
"25",11,4,4,10,0.1,55,55,55,0,7
"26",11,4,5,10,0.1,55,55,55,0,7
"27",11,4,6,10,0.1,55,55,55,0,7
"28",11,4,7,10,0.1,55,55,55,0,7
"29",11,4,8,10,0.1,55,55,55,0,7
"30",11,4,9,10,0.1,55,55,55,0,7
"31",11,4,10,10,0.1,55,55,55,0,7
"32",11,5,1,7,1,53,53,52,1,7
"33",11,5,2,7,1,53,53,50,3,7
"34",11,5,3,7,1,53,53,53,0,7
"35",11,5,4,7,1,53,54,53,1,7
"36",11,5,5,7,1,53,52,53,1,7
"37",11,5,6,7,1,53,54,53,1,7
"38",11,5,7,7,1,53,53,53,0,7
"39",11,6,1,6,0.1,47,47,50,3,6
"40",11,6,2,6,0.1,47,47,47,0,6
"41",11,6,3,6,0.1,47,48,47,1,6
"42",11,6,4,6,0.1,47,47,47,0,6
"43",11,6,5,6,0.1,47,47,47,0,6
"44",11,6,6,6,0.1,47,47,47,0,6
"45",11,7,1,7,1,34,35,50,15,6
"46",11,7,2,7,1,34,33,35,2,6
"47",11,7,3,7,1,34,32,34,2,6
"48",11,7,4,7,1,34,34,33,1,6
"49",11,7,5,7,1,34,34,34,0,6
"50",11,7,6,7,1,34,35,34,1,6
"51",11,7,7,7,1,34,34,34,0,6
"52",11,8,1,10,10,50,49,50,1,7
"53",11,8,2,10,10,50,46,49,3,7
"54",11,8,3,10,10,50,43,48,5,7
"55",11,8,4,10,10,50,48,45,3,7
"56",11,8,5,10,10,50,52,46,6,7
"57",11,8,6,10,10,50,53,50,3,7
"58",11,8,7,10,10,50,42,52,10,7
"59",11,8,8,10,10,50,50,45,5,7
"60",11,8,9,10,10,50,47,51,4,7
"61",11,8,10,10,10,50,48,48,0,7
"62",11,9,1,6,1000,56,19,51,32,1
"63",11,9,2,6,1000,56,61,25,36,1
"64",11,9,3,6,1000,56,6,49,43,1
"65",11,9,4,6,1000,56,69,50,19,1
"66",11,9,5,6,1000,56,74,56,18,1
"67",11,9,6,6,1000,56,17,75,58,1
"68",11,10,1,10,1,60,61,49,12,7
"69",11,10,2,10,1,60,61,68,7,7
"70",11,10,3,10,1,60,59,65,6,7
"71",11,10,4,10,1,60,61,68,7,7
"72",11,10,5,10,1,60,60,64,4,7
"73",11,10,6,10,1,60,59,60,1,7
"74",11,10,7,10,1,60,59,58,1,7
"75",11,10,8,10,1,60,60,58,2,7
"76",11,10,9,10,1,60,62,59,3,7
"77",11,10,10,10,1,60,60,60,0,7
"78",11,11,1,3,10,25,23,50,27,5
"79",11,11,2,3,10,25,20,25,5,5
"80",11,11,3,3,10,25,29,20,9,5
