"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",19,1,1,3,100,59,72,63,9,6
"2",19,1,2,3,100,59,84,55,29,6
"3",19,1,3,3,100,59,53,73,20,6
"4",19,2,1,3,1000,26,48,77,29,6
"5",19,2,2,3,1000,26,66,42,24,6
"6",19,2,3,3,1000,26,52,56,4,6
"7",19,3,1,3,1,43,42,71,29,6
"8",19,3,2,3,1,43,41,38,3,6
"9",19,3,3,3,1,43,43,43,0,6
"10",19,4,1,3,0.1,57,57,79,22,6
"11",19,4,2,3,0.1,57,57,56,1,6
"12",19,4,3,3,0.1,57,57,56,1,6
"13",19,5,1,3,0.1,44,44,67,23,6
"14",19,5,2,3,0.1,44,44,35,9,6
"15",19,5,3,3,0.1,44,43,47,4,6
"16",19,6,1,3,1000,51,74,62,12,6
"17",19,6,2,3,1000,51,41,69,28,6
"18",19,6,3,3,1000,51,48,45,3,6
"19",19,7,1,3,1000,30,54,43,11,7
"20",19,7,2,3,1000,30,58,54,4,7
"21",19,7,3,3,1000,30,61,55,6,7
"22",19,8,1,3,1000,38,69,59,10,7
"23",19,8,2,3,1000,38,95,61,34,7
"24",19,8,3,3,1000,38,27,79,52,7
"25",19,9,1,3,100,71,60,55,5,6
"26",19,9,2,3,100,71,67,60,7,6
"27",19,9,3,3,100,71,90,64,26,6
"28",19,10,1,3,100,61,58,76,18,5
"29",19,10,2,3,100,61,74,50,24,5
"30",19,10,3,3,100,61,50,61,11,5
"31",19,11,1,3,0.1,31,32,70,38,5
"32",19,11,2,3,0.1,31,31,73,42,5
"33",19,11,3,3,0.1,31,31,37,6,5
"34",19,12,1,3,100,31,23,61,38,5
"35",19,12,2,3,100,31,31,72,41,5
"36",19,12,3,3,100,31,24,62,38,5
"37",19,13,1,3,10,71,70,72,2,6
"38",19,13,2,3,10,71,69,68,1,6
"39",19,13,3,3,10,71,67,67,0,6
"40",19,14,1,3,1000,40,33,69,36,5
"41",19,14,2,3,1000,40,18,37,19,5
"42",19,14,3,3,1000,40,56,28,28,5
"43",19,15,1,3,1,38,38,60,22,5
"44",19,15,2,3,1,38,38,71,33,5
"45",19,15,3,3,1,38,35,63,28,5
"46",19,16,1,4,10,41,43,66,23,6
"47",19,16,2,4,10,41,41,73,32,6
"48",19,16,3,4,10,41,42,73,31,6
"49",19,16,4,4,10,41,37,72,35,6
"50",19,17,1,3,1000,44,40,66,26,5
"51",19,17,2,3,1000,44,58,71,13,5
"52",19,17,3,3,1000,44,55,67,12,5
"53",19,18,1,3,0.1,63,63,77,14,6
"54",19,18,2,3,0.1,63,63,79,16,6
"55",19,18,3,3,0.1,63,63,65,2,6
"56",19,19,1,2,10,77,84,72,12,5
"57",19,19,2,2,10,77,72,68,4,5
