"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",31,1,1,3,0.1,34,34,60,26,2
"2",31,1,2,3,0.1,34,34,74,40,2
"3",31,1,3,3,0.1,34,33,43,10,2
"4",31,2,1,6,0.1,56,56,73,17,4
"5",31,2,2,6,0.1,56,56,33,23,4
"6",31,2,3,6,0.1,56,55,56,1,4
"7",31,2,4,6,0.1,56,56,65,9,4
"8",31,2,5,6,0.1,56,57,59,2,4
"9",31,2,6,6,0.1,56,56,43,13,4
"10",31,3,1,5,100,54,47,66,19,5
"11",31,3,2,5,100,54,57,35,22,5
"12",31,3,3,5,100,54,43,42,1,5
"13",31,3,4,5,100,54,52,56,4,5
"14",31,3,5,5,100,54,40,44,4,5
"15",31,4,1,3,0.1,49,49,34,15,3
"16",31,4,2,3,0.1,49,49,40,9,3
"17",31,4,3,3,0.1,49,49,57,8,3
"18",31,5,1,3,100,26,27,60,33,1
"19",31,5,2,3,100,26,17,58,41,1
"20",31,5,3,3,100,26,33,11,22,1
"21",31,6,1,6,100,57,45,64,19,4
"22",31,6,2,6,100,57,46,43,3,4
"23",31,6,3,6,100,57,50,38,12,4
"24",31,6,4,6,100,57,61,60,1,4
"25",31,6,5,6,100,57,44,56,12,4
"26",31,6,6,6,100,57,49,73,24,4
"27",31,7,1,6,10,22,22,58,36,3
"28",31,7,2,6,10,22,18,33,15,3
"29",31,7,3,6,10,22,26,22,4,3
"30",31,7,4,6,10,22,23,15,8,3
"31",31,7,5,6,10,22,22,27,5,3
"32",31,7,6,6,10,22,27,40,13,3
"33",31,8,1,7,100,53,54,66,12,4
"34",31,8,2,7,100,53,47,58,11,4
"35",31,8,3,7,100,53,56,43,13,4
"36",31,8,4,7,100,53,53,55,2,4
"37",31,8,5,7,100,53,53,60,7,4
"38",31,8,6,7,100,53,51,55,4,4
"39",31,8,7,7,100,53,63,44,19,4
"40",31,9,1,4,0.1,62,62,58,4,6
"41",31,9,2,4,0.1,62,62,54,8,6
"42",31,9,3,4,0.1,62,62,62,0,6
"43",31,9,4,4,0.1,62,62,70,8,6
"44",31,10,1,5,0.1,44,44,53,9,4
"45",31,10,2,5,0.1,44,44,40,4,4
"46",31,10,3,5,0.1,44,44,61,17,4
"47",31,10,4,5,0.1,44,44,41,3,4
"48",31,10,5,5,0.1,44,44,57,13,4
"49",31,11,1,4,100,37,36,62,26,2
"50",31,11,2,4,100,37,45,38,7,2
"51",31,11,3,4,100,37,33,57,24,2
"52",31,11,4,4,100,37,31,41,10,2
"53",31,12,1,4,0.1,70,70,60,10,3
"54",31,12,2,4,0.1,70,70,65,5,3
"55",31,12,3,4,0.1,70,70,57,13,3
"56",31,12,4,4,0.1,70,70,40,30,3
"57",31,13,1,3,1000,73,20,62,42,1
"58",31,13,2,3,1000,73,36,54,18,1
"59",31,13,3,3,1000,73,100,45,55,1
"60",31,14,1,4,100,31,15,65,50,1
"61",31,14,2,4,100,31,23,59,36,1
"62",31,14,3,4,100,31,33,40,7,1
"63",31,14,4,4,100,31,16,38,22,1
"64",31,15,1,4,1000,46,41,63,22,3
"65",31,15,2,4,1000,46,28,39,11,3
"66",31,15,3,4,1000,46,49,59,10,3
"67",31,15,4,4,1000,46,22,45,23,3
"68",31,16,1,3,100,69,74,37,37,1
"69",31,16,2,3,100,69,77,59,18,1
"70",31,16,3,3,100,69,70,41,29,1
"71",31,17,1,5,0.1,45,45,68,23,3
"72",31,17,2,5,0.1,45,45,60,15,3
"73",31,17,3,5,0.1,45,45,40,5,3
"74",31,17,4,5,0.1,45,45,37,8,3
"75",31,17,5,5,0.1,45,46,59,13,3
"76",31,18,1,3,0.1,20,20,36,16,3
"77",31,18,2,3,0.1,20,20,60,40,3
"78",31,18,3,3,0.1,20,20,44,24,3
"79",31,19,1,4,100,66,61,58,3,2
"80",31,19,2,4,100,66,83,41,42,2
"81",31,19,3,4,100,66,75,65,10,2
"82",31,19,4,4,100,66,70,60,10,2
"83",31,20,1,5,100,52,68,41,27,3
"84",31,20,2,5,100,52,45,61,16,3
"85",31,20,3,5,100,52,49,42,7,3
"86",31,20,4,5,100,52,55,56,1,3
"87",31,20,5,5,100,52,35,63,28,3
"88",31,21,1,3,10,77,77,44,33,1
"89",31,21,2,3,10,77,70,55,15,1
"90",31,21,3,3,10,77,78,34,44,1
"91",31,22,1,4,0.1,31,31,62,31,1
"92",31,22,2,4,0.1,31,32,46,14,1
"93",31,22,3,4,0.1,31,31,61,30,1
"94",31,22,4,4,0.1,31,31,58,27,1
"95",31,23,1,6,1000,47,30,36,6,3
"96",31,23,2,6,1000,47,63,37,26,3
"97",31,23,3,6,1000,47,57,53,4,3
"98",31,23,4,6,1000,47,58,63,5,3
"99",31,23,5,6,1000,47,36,62,26,3
"100",31,23,6,6,1000,47,49,39,10,3
"101",31,24,1,3,0.1,75,75,42,33,1
"102",31,24,2,3,0.1,75,75,54,21,1
"103",31,24,3,3,0.1,75,75,30,45,1
"104",31,25,1,4,1000,57,87,44,43,1
"105",31,25,2,4,1000,57,64,34,30,1
"106",31,25,3,4,1000,57,88,55,33,1
"107",31,25,4,4,1000,57,60,37,23,1
"108",31,26,1,10,1,56,55,44,11,7
"109",31,26,2,10,1,56,56,57,1,7
"110",31,26,3,10,1,56,55,55,0,7
"111",31,26,4,10,1,56,54,45,9,7
"112",31,26,5,10,1,56,56,59,3,7
"113",31,26,6,10,1,56,56,54,2,7
"114",31,26,7,10,1,56,57,62,5,7
"115",31,26,8,10,1,56,56,55,1,7
"116",31,26,9,10,1,56,57,46,11,7
"117",31,26,10,10,1,56,56,57,1,7
"118",31,27,1,3,1000,49,89,59,30,1
"119",31,27,2,3,1000,49,30,45,15,1
"120",31,27,3,3,1000,49,85,58,27,1
"121",31,28,1,5,0.1,44,44,41,3,3
"122",31,28,2,5,0.1,44,44,63,19,3
"123",31,28,3,5,0.1,44,44,54,10,3
"124",31,28,4,5,0.1,44,44,42,2,3
"125",31,28,5,5,0.1,44,44,57,13,3
"126",31,29,1,3,100,60,49,59,10,1
"127",31,29,2,3,100,60,66,56,10,1
"128",31,29,3,3,100,60,67,39,28,1
"129",31,30,1,3,100,55,57,44,13,6
"130",31,30,2,3,100,55,65,56,9,6
"131",31,30,3,3,100,55,45,45,0,6
"132",31,31,1,3,1,76,76,60,16,3
"133",31,31,2,3,1,76,77,40,37,3
"134",31,31,3,3,1,76,76,60,16,3
