"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",8,1,1,30,1,61,59,82,23,6
"2",8,1,2,30,1,61,61,62,1,6
"3",8,1,3,30,1,61,63,42,21,6
"4",8,1,4,30,1,61,61,72,11,6
"5",8,1,5,30,1,61,63,68,5,6
"6",8,1,6,30,1,61,61,63,2,6
"7",8,1,7,30,1,61,61,67,6,6
"8",8,1,8,30,1,61,62,68,6,6
"9",8,1,9,30,1,61,61,69,8,6
"10",8,1,10,30,1,61,62,69,7,6
"11",8,1,11,30,1,61,61,74,13,6
"12",8,1,12,30,1,61,61,63,2,6
"13",8,1,13,30,1,61,60,71,11,6
"14",8,1,14,30,1,61,62,66,4,6
"15",8,1,15,30,1,61,62,62,0,6
"16",8,1,16,30,1,61,62,74,12,6
"17",8,1,17,30,1,61,59,71,12,6
"18",8,1,18,30,1,61,61,70,9,6
"19",8,1,19,30,1,61,62,63,1,6
"20",8,1,20,30,1,61,60,79,19,6
"21",8,1,21,30,1,61,61,66,5,6
"22",8,1,22,30,1,61,61,78,17,6
"23",8,1,23,30,1,61,63,72,9,6
"24",8,1,24,30,1,61,61,65,4,6
"25",8,1,25,30,1,61,60,72,12,6
"26",8,1,26,30,1,61,60,75,15,6
"27",8,1,27,30,1,61,62,74,12,6
"28",8,1,28,30,1,61,61,68,7,6
"29",8,1,29,30,1,61,61,70,9,6
"30",8,1,30,30,1,61,60,78,18,6
"31",8,2,1,11,10,75,70,74,4,6
"32",8,2,2,11,10,75,76,67,9,6
"33",8,2,3,11,10,75,79,69,10,6
"34",8,2,4,11,10,75,79,67,12,6
"35",8,2,5,11,10,75,73,69,4,6
"36",8,2,6,11,10,75,76,84,8,6
"37",8,2,7,11,10,75,77,67,10,6
"38",8,2,8,11,10,75,76,65,11,6
"39",8,2,9,11,10,75,71,84,13,6
"40",8,2,10,11,10,75,70,15,55,6
"41",8,2,11,11,10,75,79,36,43,6
"42",8,3,1,27,0.1,32,32,81,49,5
"43",8,3,2,27,0.1,32,32,69,37,5
"44",8,3,3,27,0.1,32,32,70,38,5
"45",8,3,4,27,0.1,32,32,72,40,5
"46",8,3,5,27,0.1,32,32,71,39,5
"47",8,3,6,27,0.1,32,32,76,44,5
"48",8,3,7,27,0.1,32,32,71,39,5
"49",8,3,8,27,0.1,32,32,84,52,5
"50",8,3,9,27,0.1,32,32,83,51,5
"51",8,3,10,27,0.1,32,32,72,40,5
"52",8,3,11,27,0.1,32,32,70,38,5
"53",8,3,12,27,0.1,32,32,70,38,5
"54",8,3,13,27,0.1,32,32,69,37,5
"55",8,3,14,27,0.1,32,32,71,39,5
"56",8,3,15,27,0.1,32,32,38,6,5
"57",8,3,16,27,0.1,32,32,43,11,5
"58",8,3,17,27,0.1,32,32,42,10,5
"59",8,3,18,27,0.1,32,32,65,33,5
"60",8,3,19,27,0.1,32,32,41,9,5
"61",8,3,20,27,0.1,32,32,70,38,5
"62",8,3,21,27,0.1,32,32,34,2,5
"63",8,3,22,27,0.1,32,32,69,37,5
"64",8,3,23,27,0.1,32,32,44,12,5
"65",8,3,24,27,0.1,32,32,65,33,5
"66",8,3,25,27,0.1,32,32,54,22,5
"67",8,3,26,27,0.1,32,32,38,6,5
"68",8,3,27,27,0.1,32,31,71,40,5
"69",8,4,1,6,1000,72,70,65,5,5
"70",8,4,2,6,1000,72,84,39,45,5
"71",8,4,3,6,1000,72,85,72,13,5
"72",8,4,4,6,1000,72,41,39,2,5
"73",8,4,5,6,1000,72,62,69,7,5
"74",8,4,6,6,1000,72,84,64,20,5
"75",8,5,1,12,1,55,55,70,15,6
"76",8,5,2,12,1,55,56,72,16,6
"77",8,5,3,12,1,55,54,83,29,6
"78",8,5,4,12,1,55,56,68,12,6
"79",8,5,5,12,1,55,56,69,13,6
"80",8,5,6,12,1,55,56,40,16,6
"81",8,5,7,12,1,55,56,75,19,6
"82",8,5,8,12,1,55,54,67,13,6
"83",8,5,9,12,1,55,54,75,21,6
"84",8,5,10,12,1,55,55,39,16,6
"85",8,5,11,12,1,55,53,71,18,6
"86",8,5,12,12,1,55,55,71,16,6
"87",8,6,1,5,1,64,64,81,17,6
"88",8,6,2,5,1,64,64,62,2,6
"89",8,6,3,5,1,64,63,76,13,6
"90",8,6,4,5,1,64,64,81,17,6
"91",8,6,5,5,1,64,62,72,10,6
"92",8,7,1,3,0.1,26,26,81,55,5
"93",8,7,2,3,0.1,26,26,61,35,5
"94",8,7,3,3,0.1,26,26,65,39,5
"95",8,8,1,17,1000,20,61,70,9,5
"96",8,8,2,17,1000,20,11,73,62,5
"97",8,8,3,17,1000,20,46,58,12,5
"98",8,8,4,17,1000,20,4,86,82,5
"99",8,8,5,17,1000,20,10,73,63,5
"100",8,8,6,17,1000,20,64,71,7,5
"101",8,8,7,17,1000,20,70,65,5,5
"102",8,8,8,17,1000,20,50,70,20,5
"103",8,8,9,17,1000,20,42,67,25,5
"104",8,8,10,17,1000,20,46,35,11,5
"105",8,8,11,17,1000,20,74,76,2,5
"106",8,8,12,17,1000,20,22,64,42,5
"107",8,8,13,17,1000,20,29,35,6,5
"108",8,8,14,17,1000,20,29,76,47,5
"109",8,8,15,17,1000,20,36,66,30,5
"110",8,8,16,17,1000,20,2,68,66,5
"111",8,8,17,17,1000,20,18,39,21,5
