"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",16,1,1,3,0.1,33,32,59,27,6
"2",16,1,2,3,0.1,33,33,35,2,6
"3",16,1,3,3,0.1,33,33,59,26,6
"4",16,2,1,9,100,39,48,61,13,6
"5",16,2,2,9,100,39,47,40,7,6
"6",16,2,3,9,100,39,54,46,8,6
"7",16,2,4,9,100,39,48,62,14,6
"8",16,2,5,9,100,39,26,44,18,6
"9",16,2,6,9,100,39,45,43,2,6
"10",16,2,7,9,100,39,18,56,38,6
"11",16,2,8,9,100,39,27,15,12,6
"12",16,2,9,9,100,39,23,25,2,6
"13",16,3,1,3,1,67,67,67,0,6
"14",16,3,2,3,1,67,66,84,18,6
"15",16,3,3,3,1,67,66,75,9,6
"16",16,4,1,5,1000,30,82,28,54,6
"17",16,4,2,5,1000,30,29,88,59,6
"18",16,4,3,5,1000,30,35,81,46,6
"19",16,4,4,5,1000,30,32,64,32,6
"20",16,4,5,5,1000,30,82,66,16,6
"21",16,5,1,6,0.1,51,50,76,26,5
"22",16,5,2,6,0.1,51,50,68,18,5
"23",16,5,3,6,0.1,51,52,51,1,5
"24",16,5,4,6,0.1,51,51,61,10,5
"25",16,5,5,6,0.1,51,50,71,21,5
"26",16,5,6,6,0.1,51,51,60,9,5
"27",16,6,1,15,100,23,33,33,0,6
"28",16,6,2,15,100,23,15,41,26,6
"29",16,6,3,15,100,23,37,32,5,6
"30",16,6,4,15,100,23,17,63,46,6
"31",16,6,5,15,100,23,14,19,5,6
"32",16,6,6,15,100,23,22,14,8,6
"33",16,6,7,15,100,23,37,29,8,6
"34",16,6,8,15,100,23,19,41,22,6
"35",16,6,9,15,100,23,27,19,8,6
"36",16,6,10,15,100,23,24,27,3,6
"37",16,6,11,15,100,23,42,28,14,6
"38",16,6,12,15,100,23,13,38,25,6
"39",16,6,13,15,100,23,10,65,55,6
"40",16,6,14,15,100,23,28,12,16,6
"41",16,6,15,15,100,23,37,33,4,6
"42",16,7,1,40,1,54,55,82,27,6
"43",16,7,2,40,1,54,54,63,9,6
"44",16,7,3,40,1,54,53,51,2,6
"45",16,7,4,40,1,54,53,56,3,6
"46",16,7,5,40,1,54,53,47,6,6
"47",16,7,6,40,1,54,53,53,0,6
"48",16,7,7,40,1,54,55,52,3,6
"49",16,7,8,40,1,54,55,54,1,6
"50",16,7,9,40,1,54,55,55,0,6
"51",16,7,10,40,1,54,56,54,2,6
"52",16,7,11,40,1,54,54,56,2,6
"53",16,7,12,40,1,54,53,54,1,6
"54",16,7,13,40,1,54,52,54,2,6
"55",16,7,14,40,1,54,56,52,4,6
"56",16,7,15,40,1,54,53,53,0,6
"57",16,7,16,40,1,54,53,53,0,6
"58",16,7,17,40,1,54,55,53,2,6
"59",16,7,18,40,1,54,54,55,1,6
"60",16,7,19,40,1,54,54,55,1,6
"61",16,7,20,40,1,54,55,55,0,6
"62",16,7,21,40,1,54,53,54,1,6
"63",16,7,22,40,1,54,54,54,0,6
"64",16,7,23,40,1,54,55,55,0,6
"65",16,7,24,40,1,54,54,55,1,6
"66",16,7,25,40,1,54,54,54,0,6
"67",16,7,26,40,1,54,55,54,1,6
"68",16,7,27,40,1,54,53,54,1,6
"69",16,7,28,40,1,54,54,52,2,6
"70",16,7,29,40,1,54,54,53,1,6
"71",16,7,30,40,1,54,56,53,3,6
"72",16,7,31,40,1,54,54,54,0,6
"73",16,7,32,40,1,54,54,54,0,6
"74",16,7,33,40,1,54,54,53,1,6
"75",16,7,34,40,1,54,54,55,1,6
"76",16,7,35,40,1,54,55,55,0,6
"77",16,7,36,40,1,54,52,53,1,6
"78",16,7,37,40,1,54,55,53,2,6
