"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",13,1,1,3,1,49,49,50,1,2
"2",13,1,2,3,1,49,49,51,2,2
"3",13,1,3,3,1,49,47,49,2,2
"4",13,2,1,3,0.1,29,29,20,9,1
"5",13,2,2,3,0.1,29,29,25,4,1
"6",13,2,3,3,0.1,29,29,27,2,1
"7",13,3,1,3,1,21,20,75,55,3
"8",13,3,2,3,1,21,22,20,2,3
"9",13,3,3,3,1,21,21,21,0,3
"10",13,4,1,3,1,27,28,50,22,3
"11",13,4,2,3,1,27,26,28,2,3
"12",13,4,3,3,1,27,28,28,0,3
"13",13,5,1,3,0.1,52,52,80,28,4
"14",13,5,2,3,0.1,52,51,52,1,4
"15",13,5,3,3,0.1,52,52,50,2,4
"16",13,6,1,7,1000,35,6,60,54,7
"17",13,6,2,7,1000,35,70,7,63,7
"18",13,6,3,7,1000,35,39,50,11,7
"19",13,6,4,7,1000,35,11,60,49,7
"20",13,6,5,7,1000,35,46,70,24,7
"21",13,6,6,7,1000,35,38,60,22,7
"22",13,6,7,7,1000,35,44,45,1,7
"23",13,7,1,4,100,42,41,50,9,4
"24",13,7,2,4,100,42,44,60,16,4
"25",13,7,3,4,100,42,37,42,5,4
"26",13,7,4,4,100,42,40,40,0,4
"27",13,8,1,3,1,73,73,35,38,1
"28",13,8,2,3,1,73,73,70,3,1
"29",13,8,3,3,1,73,73,73,0,1
"30",13,9,1,14,1000,22,61,50,11,6
"31",13,9,2,14,1000,22,6,63,57,6
"32",13,9,3,14,1000,22,17,55,38,6
"33",13,9,4,14,1000,22,13,30,17,6
"34",13,9,5,14,1000,22,44,15,29,6
"35",13,9,6,14,1000,22,68,56,12,6
"36",13,9,7,14,1000,22,54,80,26,6
"37",13,9,8,14,1000,22,73,43,30,6
"38",13,9,9,14,1000,22,43,60,17,6
"39",13,9,10,14,1000,22,65,26,39,6
"40",13,9,11,14,1000,22,10,45,35,6
"41",13,9,12,14,1000,22,1,31,30,6
"42",13,9,13,14,1000,22,38,48,10,6
"43",13,9,14,14,1000,22,61,65,4,6
"44",13,10,1,3,100,75,69,52,17,4
"45",13,10,2,3,100,75,66,67,1,4
"46",13,10,3,3,100,75,71,65,6,4
"47",13,11,1,9,1000,33,48,57,9,6
"48",13,11,2,9,1000,33,93,48,45,6
"49",13,11,3,9,1000,33,11,24,13,6
"50",13,11,4,9,1000,33,11,54,43,6
"51",13,11,5,9,1000,33,39,23,16,6
"52",13,11,6,9,1000,33,38,58,20,6
"53",13,11,7,9,1000,33,78,43,35,6
"54",13,11,8,9,1000,33,64,52,12,6
"55",13,11,9,9,1000,33,38,43,5,6
"56",13,12,1,4,10,42,41,48,7,5
"57",13,12,2,4,10,42,46,44,2,5
"58",13,12,3,4,10,42,49,43,6,5
"59",13,12,4,4,10,42,45,44,1,5
"60",13,13,1,8,100,64,72,71,1,6
"61",13,13,2,8,100,64,66,73,7,6
"62",13,13,3,8,100,64,61,54,7,6
"63",13,13,4,8,100,64,69,62,7,6
"64",13,13,5,8,100,64,53,67,14,6
"65",13,13,6,8,100,64,83,62,21,6
"66",13,13,7,8,100,64,79,70,9,6
"67",13,13,8,8,100,64,64,74,10,6
