"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",10,1,1,5,0.1,74,74,52,22,6
"2",10,1,2,5,0.1,74,74,72,2,6
"3",10,1,3,5,0.1,74,74,74,0,6
"4",10,1,4,5,0.1,74,74,74,0,6
"5",10,1,5,5,0.1,74,74,74,0,6
"6",10,2,1,8,1000,45,61,62,1,7
"7",10,2,2,8,1000,45,12,61,49,7
"8",10,2,3,8,1000,45,59,45,14,7
"9",10,2,4,8,1000,45,42,62,20,7
"10",10,2,5,8,1000,45,30,38,8,7
"11",10,2,6,8,1000,45,56,50,6,7
"12",10,2,7,8,1000,45,87,25,62,7
"13",10,2,8,8,1000,45,59,35,24,7
"14",10,3,1,11,1,25,24,55,31,6
"15",10,3,2,11,1,25,27,24,3,6
"16",10,3,3,11,1,25,27,31,4,6
"17",10,3,4,11,1,25,26,30,4,6
"18",10,3,5,11,1,25,26,26,0,6
"19",10,3,6,11,1,25,25,25,0,6
"20",10,3,7,11,1,25,24,25,1,6
"21",10,3,8,11,1,25,26,24,2,6
"22",10,3,9,11,1,25,26,27,1,6
"23",10,3,10,11,1,25,27,27,0,6
"24",10,3,11,11,1,25,25,26,1,6
"25",10,4,1,3,0.1,28,28,68,40,3
"26",10,4,2,3,0.1,28,28,28,0,3
"27",10,4,3,3,0.1,28,28,28,0,3
"28",10,5,1,12,1,56,57,39,18,6
"29",10,5,2,12,1,56,56,56,0,6
"30",10,5,3,12,1,56,54,55,1,6
"31",10,5,4,12,1,56,55,52,3,6
"32",10,5,5,12,1,56,54,55,1,6
"33",10,5,6,12,1,56,56,52,4,6
"34",10,5,7,12,1,56,57,55,2,6
"35",10,5,8,12,1,56,56,55,1,6
"36",10,5,9,12,1,56,56,54,2,6
"37",10,5,10,12,1,56,56,57,1,6
"38",10,5,11,12,1,56,57,56,1,6
"39",10,5,12,12,1,56,56,57,1,6
"40",10,6,1,8,1,68,69,36,33,6
"41",10,6,2,8,1,68,66,67,1,6
"42",10,6,3,8,1,68,67,64,3,6
"43",10,6,4,8,1,68,70,65,5,6
"44",10,6,5,8,1,68,69,70,1,6
"45",10,6,6,8,1,68,67,67,0,6
"46",10,6,7,8,1,68,67,69,2,6
"47",10,6,8,8,1,68,66,66,0,6
"48",10,7,1,12,1,20,20,44,24,5
"49",10,7,2,12,1,20,19,23,4,5
"50",10,7,3,12,1,20,18,18,0,5
"51",10,7,4,12,1,20,20,17,3,5
"52",10,7,5,12,1,20,21,19,2,5
"53",10,7,6,12,1,20,21,20,1,5
"54",10,7,7,12,1,20,22,21,1,5
"55",10,7,8,12,1,20,22,22,0,5
"56",10,7,9,12,1,20,19,23,4,5
"57",10,7,10,12,1,20,20,19,1,5
"58",10,7,11,12,1,20,21,21,0,5
"59",10,7,12,12,1,20,18,22,4,5
"60",10,8,1,13,1,64,64,59,5,7
"61",10,8,2,13,1,64,65,63,2,7
"62",10,8,3,13,1,64,63,66,3,7
"63",10,8,4,13,1,64,64,62,2,7
"64",10,8,5,13,1,64,67,66,1,7
"65",10,8,6,13,1,64,66,65,1,7
"66",10,8,7,13,1,64,64,64,0,7
"67",10,8,8,13,1,64,63,68,5,7
"68",10,8,9,13,1,64,64,65,1,7
"69",10,8,10,13,1,64,63,66,3,7
"70",10,8,11,13,1,64,65,63,2,7
"71",10,8,12,13,1,64,64,67,3,7
"72",10,8,13,13,1,64,64,63,1,7
"73",10,9,1,4,0.1,38,38,41,3,3
"74",10,9,2,4,0.1,38,38,41,3,3
"75",10,9,3,4,0.1,38,38,38,0,3
"76",10,9,4,4,0.1,38,38,38,0,3
"77",10,10,1,3,0.1,73,73,66,7,3
"78",10,10,2,3,0.1,73,73,76,3,3
"79",10,10,3,3,0.1,73,73,73,0,3
