"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",13,1,1,5,100,67,65,70,5,7
"2",13,1,2,5,100,67,64,65,1,7
"3",13,1,3,5,100,67,71,65,6,7
"4",13,1,4,5,100,67,61,64,3,7
"5",13,1,5,5,100,67,73,63,10,7
"6",13,2,1,5,0.1,39,39,35,4,7
"7",13,2,2,5,0.1,39,39,36,3,7
"8",13,2,3,5,0.1,39,39,38,1,7
"9",13,2,4,5,0.1,39,39,36,3,7
"10",13,2,5,5,0.1,39,39,33,6,7
"11",13,3,1,6,1,56,56,81,25,7
"12",13,3,2,6,1,56,55,59,4,7
"13",13,3,3,6,1,56,54,61,7,7
"14",13,3,4,6,1,56,55,53,2,7
"15",13,3,5,6,1,56,55,56,1,7
"16",13,3,6,6,1,56,56,58,2,7
"17",13,4,1,3,1000,23,17,41,24,6
"18",13,4,2,3,1000,23,14,14,0,6
"19",13,4,3,3,1000,23,56,13,43,6
"20",13,5,1,12,0.1,77,77,67,10,7
"21",13,5,2,12,0.1,77,77,80,3,7
"22",13,5,3,12,0.1,77,77,72,5,7
"23",13,5,4,12,0.1,77,77,70,7,7
"24",13,5,5,12,0.1,77,77,71,6,7
"25",13,5,6,12,0.1,77,77,75,2,7
"26",13,5,7,12,0.1,77,77,73,4,7
"27",13,5,8,12,0.1,77,77,77,0,7
"28",13,5,9,12,0.1,77,77,77,0,7
"29",13,5,10,12,0.1,77,77,76,1,7
"30",13,5,11,12,0.1,77,77,77,0,7
"31",13,5,12,12,0.1,77,77,77,0,7
"32",13,6,1,3,1000,46,53,44,9,2
"33",13,6,2,3,1000,46,81,48,33,2
"34",13,6,3,3,1000,46,1,61,60,2
"35",13,7,1,10,1,45,45,32,13,7
"36",13,7,2,10,1,45,45,36,9,7
"37",13,7,3,10,1,45,46,45,1,7
"38",13,7,4,10,1,45,43,42,1,7
"39",13,7,5,10,1,45,45,43,2,7
"40",13,7,6,10,1,45,45,45,0,7
"41",13,7,7,10,1,45,46,45,1,7
"42",13,7,8,10,1,45,45,45,0,7
"43",13,7,9,10,1,45,46,45,1,7
"44",13,7,10,10,1,45,45,47,2,7
"45",13,8,1,3,1000,26,6,77,71,3
"46",13,8,2,3,1000,26,59,6,53,3
"47",13,8,3,3,1000,26,48,13,35,3
"48",13,9,1,11,1,36,37,61,24,7
"49",13,9,2,11,1,36,35,33,2,7
"50",13,9,3,11,1,36,36,30,6,7
"51",13,9,4,11,1,36,36,40,4,7
"52",13,9,5,11,1,36,37,37,0,7
"53",13,9,6,11,1,36,34,36,2,7
"54",13,9,7,11,1,36,36,37,1,7
"55",13,9,8,11,1,36,35,37,2,7
"56",13,9,9,11,1,36,35,38,3,7
"57",13,9,10,11,1,36,37,33,4,7
"58",13,9,11,11,1,36,36,36,0,7
"59",13,10,1,6,100,72,71,43,28,6
"60",13,10,2,6,100,72,77,69,8,6
"61",13,10,3,6,100,72,68,76,8,6
"62",13,10,4,6,100,72,83,72,11,6
"63",13,10,5,6,100,72,74,77,3,6
"64",13,10,6,6,100,72,75,73,2,6
"65",13,11,1,18,1,70,71,62,9,6
"66",13,11,2,18,1,70,71,63,8,6
"67",13,11,3,18,1,70,72,71,1,6
"68",13,11,4,18,1,70,71,70,1,6
"69",13,11,5,18,1,70,71,72,1,6
"70",13,11,6,18,1,70,70,66,4,6
"71",13,11,7,18,1,70,69,71,2,6
"72",13,11,8,18,1,70,70,72,2,6
"73",13,11,9,18,1,70,70,68,2,6
"74",13,11,10,18,1,70,72,69,3,6
"75",13,11,11,18,1,70,71,70,1,6
"76",13,11,12,18,1,70,69,72,3,6
"77",13,11,13,18,1,70,70,73,3,6
"78",13,11,14,18,1,70,69,69,0,6
"79",13,11,15,18,1,70,72,69,3,6
"80",13,11,16,18,1,70,70,71,1,6
"81",13,11,17,18,1,70,69,66,3,6
"82",13,11,18,18,1,70,71,67,4,6
"83",13,12,1,7,100,77,78,35,43,5
"84",13,12,2,7,100,77,71,78,7,5
"85",13,12,3,7,100,77,74,71,3,5
"86",13,12,4,7,100,77,79,73,6,5
"87",13,12,5,7,100,77,86,72,14,5
"88",13,12,6,7,100,77,55,74,19,5
"89",13,12,7,7,100,77,67,72,5,5
"90",13,13,1,7,1,51,49,11,38,5
"91",13,13,2,7,1,51,51,47,4,5
"92",13,13,3,7,1,51,53,49,4,5
"93",13,13,4,7,1,51,51,52,1,5
"94",13,13,5,7,1,51,50,54,4,5
"95",13,13,6,7,1,51,51,54,3,5
"96",13,13,7,7,1,51,49,52,3,5
