"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",13,1,1,10,10,35,36,54,18,6
"2",13,1,2,10,10,35,31,40,9,6
"3",13,1,3,10,10,35,33,32,1,6
"4",13,1,4,10,10,35,37,32,5,6
"5",13,1,5,10,10,35,36,33,3,6
"6",13,1,6,10,10,35,37,32,5,6
"7",13,1,7,10,10,35,40,34,6,6
"8",13,1,8,10,10,35,31,36,5,6
"9",13,1,9,10,10,35,39,33,6,6
"10",13,1,10,10,10,35,31,36,5,6
"11",13,2,1,3,100,41,40,45,5,3
"12",13,2,2,3,100,41,50,41,9,3
"13",13,2,3,3,100,41,58,48,10,3
"14",13,3,1,5,100,78,65,46,19,4
"15",13,3,2,5,100,78,73,63,10,4
"16",13,3,3,5,100,78,65,65,0,4
"17",13,3,4,5,100,78,61,68,7,4
"18",13,3,5,5,100,78,72,63,9,4
"19",13,4,1,17,0.1,63,63,54,9,6
"20",13,4,2,17,0.1,63,63,63,0,6
"21",13,4,3,17,0.1,63,63,63,0,6
"22",13,4,4,17,0.1,63,63,63,0,6
"23",13,4,5,17,0.1,63,63,63,0,6
"24",13,4,6,17,0.1,63,63,63,0,6
"25",13,4,7,17,0.1,63,63,63,0,6
"26",13,4,8,17,0.1,63,63,63,0,6
"27",13,4,9,17,0.1,63,63,63,0,6
"28",13,4,10,17,0.1,63,63,63,0,6
"29",13,4,11,17,0.1,63,63,63,0,6
"30",13,4,12,17,0.1,63,63,63,0,6
"31",13,4,13,17,0.1,63,63,63,0,6
"32",13,4,14,17,0.1,63,63,63,0,6
"33",13,4,15,17,0.1,63,62,63,1,6
"34",13,4,16,17,0.1,63,63,62,1,6
"35",13,4,17,17,0.1,63,63,63,0,6
"36",13,5,1,19,10,32,30,59,29,6
"37",13,5,2,19,10,32,31,31,0,6
"38",13,5,3,19,10,32,32,37,5,6
"39",13,5,4,19,10,32,27,33,6,6
"40",13,5,5,19,10,32,30,31,1,6
"41",13,5,6,19,10,32,27,32,5,6
"42",13,5,7,19,10,32,28,29,1,6
"43",13,5,8,19,10,32,30,29,1,6
"44",13,5,9,19,10,32,32,30,2,6
"45",13,5,10,19,10,32,35,31,4,6
"46",13,5,11,19,10,32,33,32,1,6
"47",13,5,12,19,10,32,34,30,4,6
"48",13,5,13,19,10,32,32,31,1,6
"49",13,5,14,19,10,32,30,31,1,6
"50",13,5,15,19,10,32,28,28,0,6
"51",13,5,16,19,10,32,29,29,0,6
"52",13,5,17,19,10,32,32,30,2,6
"53",13,5,18,19,10,32,26,31,5,6
"54",13,5,19,19,10,32,34,29,5,6
"55",13,6,1,4,10,54,58,56,2,5
"56",13,6,2,4,10,54,48,56,8,5
"57",13,6,3,4,10,54,58,53,5,5
"58",13,6,4,4,10,54,50,54,4,5
"59",13,7,1,4,0.1,73,73,53,20,6
"60",13,7,2,4,0.1,73,73,72,1,6
"61",13,7,3,4,0.1,73,73,73,0,6
"62",13,7,4,4,0.1,73,73,73,0,6
"63",13,8,1,4,10,55,49,58,9,4
"64",13,8,2,4,10,55,58,50,8,4
"65",13,8,3,4,10,55,55,54,1,4
"66",13,8,4,4,10,55,55,52,3,4
"67",13,9,1,7,10,74,76,56,20,6
"68",13,9,2,7,10,74,69,75,6,6
"69",13,9,3,7,10,74,81,71,10,6
"70",13,9,4,7,10,74,73,72,1,6
"71",13,9,5,7,10,74,74,71,3,6
"72",13,9,6,7,10,74,77,71,6,6
"73",13,9,7,7,10,74,66,70,4,6
"74",13,10,1,3,1000,74,75,54,21,2
"75",13,10,2,3,1000,74,39,74,35,2
"76",13,10,3,3,1000,74,29,46,17,2
"77",13,11,1,3,1000,79,53,59,6,2
"78",13,11,2,3,1000,79,69,59,10,2
"79",13,11,3,3,1000,79,34,60,26,2
"80",13,12,1,7,10,58,61,42,19,5
"81",13,12,2,7,10,58,59,38,21,5
"82",13,12,3,7,10,58,56,54,2,5
"83",13,12,4,7,10,58,56,56,0,5
"84",13,12,5,7,10,58,58,55,3,5
"85",13,12,6,7,10,58,59,58,1,5
"86",13,12,7,7,10,58,55,59,4,5
"87",13,13,1,2,100,50,45,56,11,3
"88",13,13,2,2,100,50,36,46,10,3
