"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",7,1,1,11,10,25,22,60,38,7
"2",7,1,2,11,10,25,28,22,6,7
"3",7,1,3,11,10,25,26,25,1,7
"4",7,1,4,11,10,25,21,26,5,7
"5",7,1,5,11,10,25,25,24,1,7
"6",7,1,6,11,10,25,24,23,1,7
"7",7,1,7,11,10,25,23,23,0,7
"8",7,1,8,11,10,25,20,24,4,7
"9",7,1,9,11,10,25,26,21,5,7
"10",7,1,10,11,10,25,20,26,6,7
"11",7,1,11,11,10,25,31,23,8,7
"12",7,2,1,4,1000,39,16,24,8,4
"13",7,2,2,4,1000,39,49,17,32,4
"14",7,2,3,4,1000,39,67,43,24,4
"15",7,2,4,4,1000,39,25,35,10,4
"16",7,3,1,12,10,42,40,54,14,6
"17",7,3,2,12,10,42,42,45,3,6
"18",7,3,3,12,10,42,39,49,10,6
"19",7,3,4,12,10,42,43,39,4,6
"20",7,3,5,12,10,42,37,36,1,6
"21",7,3,6,12,10,42,38,40,2,6
"22",7,3,7,12,10,42,37,43,6,6
"23",7,3,8,12,10,42,36,55,19,6
"24",7,3,9,12,10,42,41,38,3,6
"25",7,3,10,12,10,42,39,43,4,6
"26",7,3,11,12,10,42,38,38,0,6
"27",7,3,12,12,10,42,45,40,5,6
"28",7,4,1,17,0.1,50,50,42,8,7
"29",7,4,2,17,0.1,50,50,53,3,7
"30",7,4,3,17,0.1,50,50,48,2,7
"31",7,4,4,17,0.1,50,50,51,1,7
"32",7,4,5,17,0.1,50,50,51,1,7
"33",7,4,6,17,0.1,50,50,50,0,7
"34",7,4,7,17,0.1,50,50,50,0,7
"35",7,4,8,17,0.1,50,50,50,0,7
"36",7,4,9,17,0.1,50,50,50,0,7
"37",7,4,10,17,0.1,50,50,50,0,7
"38",7,4,11,17,0.1,50,50,50,0,7
"39",7,4,12,17,0.1,50,51,50,1,7
"40",7,4,13,17,0.1,50,50,51,1,7
"41",7,4,14,17,0.1,50,49,50,1,7
"42",7,4,15,17,0.1,50,49,50,1,7
"43",7,4,16,17,0.1,50,50,49,1,7
"44",7,4,17,17,0.1,50,51,51,0,7
"45",7,5,1,5,100,28,20,52,32,3
"46",7,5,2,5,100,28,31,22,9,3
"47",7,5,3,5,100,28,37,30,7,3
"48",7,5,4,5,100,28,30,32,2,3
"49",7,5,5,5,100,28,15,33,18,3
"50",7,6,1,9,10,21,17,36,19,7
"51",7,6,2,9,10,21,27,21,6,7
"52",7,6,3,9,10,21,24,26,2,7
"53",7,6,4,9,10,21,22,28,6,7
"54",7,6,5,9,10,21,23,24,1,7
"55",7,6,6,9,10,21,24,21,3,7
"56",7,6,7,9,10,21,22,25,3,7
"57",7,6,8,9,10,21,23,22,1,7
"58",7,6,9,9,10,21,24,23,1,7
"59",7,7,1,5,10,33,36,63,27,7
"60",7,7,2,5,10,33,35,35,0,7
"61",7,7,3,5,10,33,36,33,3,7
"62",7,7,4,5,10,33,35,34,1,7
"63",7,7,5,5,10,33,33,36,3,7
