"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",7,1,1,5,100,20,26,66,40,2
"2",7,1,2,5,100,20,29,29,0,2
"3",7,1,3,5,100,20,28,30,2,2
"4",7,1,4,5,100,20,22,29,7,2
"5",7,1,5,5,100,20,12,23,11,2
"6",7,2,1,11,0.1,42,41,70,29,2
"7",7,2,2,11,0.1,42,43,50,7,2
"8",7,2,3,11,0.1,42,42,47,5,2
"9",7,2,4,11,0.1,42,42,45,3,2
"10",7,2,5,11,0.1,42,42,41,1,2
"11",7,2,6,11,0.1,42,42,40,2,2
"12",7,2,7,11,0.1,42,42,39,3,2
"13",7,2,8,11,0.1,42,42,38,4,2
"14",7,2,9,11,0.1,42,42,35,7,2
"15",7,2,10,11,0.1,42,42,53,11,2
"16",7,2,11,11,0.1,42,42,51,9,2
"17",7,3,1,20,10,66,64,50,14,2
"18",7,3,2,20,10,66,70,64,6,2
"19",7,3,3,20,10,66,67,70,3,2
"20",7,3,4,20,10,66,68,65,3,2
"21",7,3,5,20,10,66,65,66,1,2
"22",7,3,6,20,10,66,66,67,1,2
"23",7,3,7,20,10,66,65,68,3,2
"24",7,3,8,20,10,66,72,69,3,2
"25",7,3,9,20,10,66,68,71,3,2
"26",7,3,10,20,10,66,62,72,10,2
"27",7,3,11,20,10,66,66,60,6,2
"28",7,3,12,20,10,66,70,61,9,2
"29",7,3,13,20,10,66,65,62,3,2
"30",7,3,14,20,10,66,61,63,2,2
"31",7,3,15,20,10,66,70,64,6,2
"32",7,3,16,20,10,66,68,65,3,2
"33",7,3,17,20,10,66,64,66,2,2
"34",7,3,18,20,10,66,66,65,1,2
"35",7,3,19,20,10,66,69,66,3,2
"36",7,3,20,20,10,66,68,52,16,2
"37",7,4,1,5,10,61,65,20,45,3
"38",7,4,2,5,10,61,61,65,4,3
"39",7,4,3,5,10,61,61,60,1,3
"40",7,4,4,5,10,61,60,59,1,3
"41",7,4,5,5,10,61,60,60,0,3
"42",7,5,1,18,10,39,44,87,43,2
"43",7,5,2,18,10,39,34,44,10,2
"44",7,5,3,18,10,39,38,40,2,2
"45",7,5,4,18,10,39,44,39,5,2
"46",7,5,5,18,10,39,43,41,2,2
"47",7,5,6,18,10,39,41,42,1,2
"48",7,5,7,18,10,39,35,43,8,2
"49",7,5,8,18,10,39,40,37,3,2
"50",7,5,9,18,10,39,37,38,1,2
"51",7,5,10,18,10,39,40,39,1,2
"52",7,5,11,18,10,39,39,40,1,2
"53",7,5,12,18,10,39,35,43,8,2
"54",7,5,13,18,10,39,42,30,12,2
"55",7,5,14,18,10,39,37,36,1,2
"56",7,5,15,18,10,39,36,35,1,2
"57",7,5,16,18,10,39,35,34,1,2
"58",7,5,17,18,10,39,42,33,9,2
"59",7,5,18,18,10,39,35,38,3,2
"60",7,6,1,3,0.1,45,45,70,25,6
"61",7,6,2,3,0.1,45,45,45,0,6
"62",7,6,3,3,0.1,45,45,45,0,6
"63",7,7,1,1,100,61,60,58,2,1
