"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",3,1,1,14,1,74,74,98,24,5
"2",3,1,2,14,1,74,74,74,0,5
"3",3,1,3,14,1,74,75,74,1,5
"4",3,1,4,14,1,74,75,74,1,5
"5",3,1,5,14,1,74,74,74,0,5
"6",3,1,6,14,1,74,76,74,2,5
"7",3,1,7,14,1,74,72,75,3,5
"8",3,1,8,14,1,74,73,74,1,5
"9",3,1,9,14,1,74,74,74,0,5
"10",3,1,10,14,1,74,74,74,0,5
"11",3,1,11,14,1,74,75,74,1,5
"12",3,1,12,14,1,74,74,74,0,5
"13",3,1,13,14,1,74,75,74,1,5
"14",3,1,14,14,1,74,74,74,0,5
"15",3,2,1,22,10,67,68,28,40,4
"16",3,2,2,22,10,67,64,68,4,4
"17",3,2,3,22,10,67,64,66,2,4
"18",3,2,4,22,10,67,64,66,2,4
"19",3,2,5,22,10,67,64,64,0,4
"20",3,2,6,22,10,67,72,64,8,4
"21",3,2,7,22,10,67,66,64,2,4
"22",3,2,8,22,10,67,68,64,4,4
"23",3,2,9,22,10,67,65,64,1,4
"24",3,2,10,22,10,67,70,66,4,4
"25",3,2,11,22,10,67,67,68,1,4
"26",3,2,12,22,10,67,69,68,1,4
"27",3,2,13,22,10,67,72,68,4,4
"28",3,2,14,22,10,67,69,68,1,4
"29",3,2,15,22,10,67,69,69,0,4
"30",3,2,16,22,10,67,66,69,3,4
"31",3,2,17,22,10,67,66,69,3,4
"32",3,2,18,22,10,67,65,66,1,4
"33",3,2,19,22,10,67,65,68,3,4
"34",3,2,20,22,10,67,67,68,1,4
"35",3,2,21,22,10,67,70,66,4,4
"36",3,2,22,22,10,67,69,68,1,4
"37",3,3,1,11,1000,79,61,21,40,3
"38",3,3,2,11,1000,79,51,61,10,3
"39",3,3,3,11,1000,79,92,56,36,3
"40",3,3,4,11,1000,79,80,63,17,3
"41",3,3,5,11,1000,79,68,68,0,3
"42",3,3,6,11,1000,79,64,68,4,3
"43",3,3,7,11,1000,79,77,66,11,3
"44",3,3,8,11,1000,79,58,68,10,3
"45",3,3,9,11,1000,79,51,68,17,3
"46",3,3,10,11,1000,79,91,68,23,3
"47",3,3,11,11,1000,79,34,71,37,3
