"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",10,1,1,7,1,32,31,63,32,6
"2",10,1,2,7,1,32,35,32,3,6
"3",10,1,3,7,1,32,32,35,3,6
"4",10,1,4,7,1,32,31,34,3,6
"5",10,1,5,7,1,32,31,32,1,6
"6",10,1,6,7,1,32,31,32,1,6
"7",10,1,7,7,1,32,33,31,2,6
"8",10,2,1,3,1,65,65,39,26,1
"9",10,2,2,3,1,65,66,56,10,1
"10",10,2,3,3,1,65,66,17,49,1
"11",10,3,1,3,10,35,35,36,1,1
"12",10,3,2,3,10,35,36,26,10,1
"13",10,3,3,3,10,35,39,26,13,1
"14",10,4,1,3,100,49,43,43,0,5
"15",10,4,2,3,100,49,45,38,7,5
"16",10,4,3,3,100,49,38,43,5,5
"17",10,5,1,8,0.1,29,29,36,7,3
"18",10,5,2,8,0.1,29,29,38,9,3
"19",10,5,3,8,0.1,29,29,28,1,3
"20",10,5,4,8,0.1,29,29,29,0,3
"21",10,5,5,8,0.1,29,29,29,0,3
"22",10,5,6,8,0.1,29,29,29,0,3
"23",10,5,7,8,0.1,29,29,29,0,3
"24",10,5,8,8,0.1,29,29,29,0,3
"25",10,6,1,5,100,70,56,39,17,2
"26",10,6,2,5,100,70,73,57,16,2
"27",10,6,3,5,100,70,64,59,5,2
"28",10,6,4,5,100,70,63,58,5,2
"29",10,6,5,5,100,70,70,59,11,2
"30",10,7,1,23,10,33,33,45,12,7
"31",10,7,2,23,10,33,33,34,1,7
"32",10,7,3,23,10,33,29,33,4,7
"33",10,7,4,23,10,33,35,28,7,7
"34",10,7,5,23,10,33,32,32,0,7
"35",10,7,6,23,10,33,28,34,6,7
"36",10,7,7,23,10,33,33,31,2,7
"37",10,7,8,23,10,33,30,32,2,7
"38",10,7,9,23,10,33,34,31,3,7
"39",10,7,10,23,10,33,35,31,4,7
"40",10,7,11,23,10,33,39,30,9,7
"41",10,7,12,23,10,33,28,33,5,7
"42",10,7,13,23,10,33,32,30,2,7
"43",10,7,14,23,10,33,30,31,1,7
"44",10,7,15,23,10,33,33,32,1,7
"45",10,7,16,23,10,33,33,31,2,7
"46",10,7,17,23,10,33,34,32,2,7
"47",10,7,18,23,10,33,37,33,4,7
"48",10,7,19,23,10,33,33,34,1,7
"49",10,7,20,23,10,33,32,31,1,7
"50",10,7,21,23,10,33,36,27,9,7
"51",10,7,22,23,10,33,31,30,1,7
"52",10,7,23,23,10,33,30,33,3,7
"53",10,8,1,3,0.1,67,67,42,25,2
"54",10,8,2,3,0.1,67,67,64,3,2
"55",10,8,3,3,0.1,67,67,67,0,2
"56",10,9,1,3,0.1,42,42,34,8,2
"57",10,9,2,3,0.1,42,42,42,0,2
"58",10,9,3,3,0.1,42,42,42,0,2
"59",10,10,1,93,10,56,49,33,16,7
"60",10,10,2,93,10,56,59,49,10,7
"61",10,10,3,93,10,56,56,54,2,7
"62",10,10,4,93,10,56,59,54,5,7
"63",10,10,5,93,10,56,60,56,4,7
"64",10,10,6,93,10,56,60,49,11,7
"65",10,10,7,93,10,56,57,54,3,7
"66",10,10,8,93,10,56,55,54,1,7
"67",10,10,9,93,10,56,56,52,4,7
"68",10,10,10,93,10,56,62,53,9,7
"69",10,10,11,93,10,56,62,55,7,7
"70",10,10,12,93,10,56,57,52,5,7
"71",10,10,13,93,10,56,58,53,5,7
"72",10,10,14,93,10,56,58,56,2,7
"73",10,10,15,93,10,56,57,53,4,7
"74",10,10,16,93,10,56,52,53,1,7
"75",10,10,17,93,10,56,57,55,2,7
"76",10,10,18,93,10,56,61,54,7,7
"77",10,10,19,93,10,56,55,58,3,7
"78",10,10,20,93,10,56,52,59,7,7
