"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",29,1,1,3,1,35,34,61,27,5
"2",29,1,2,3,1,35,36,60,24,5
"3",29,1,3,3,1,35,34,55,21,5
"4",29,2,1,3,0.1,77,77,54,23,5
"5",29,2,2,3,0.1,77,77,55,22,5
"6",29,2,3,3,0.1,77,77,54,23,5
"7",29,3,1,3,1000,62,69,61,8,5
"8",29,3,2,3,1000,62,53,61,8,5
"9",29,3,3,3,1000,62,9,61,52,5
"10",29,4,1,3,0.1,41,41,58,17,5
"11",29,4,2,3,0.1,41,41,61,20,5
"12",29,4,3,3,0.1,41,41,62,21,5
"13",29,5,1,3,0.1,33,34,57,23,5
"14",29,5,2,3,0.1,33,33,57,24,5
"15",29,5,3,3,0.1,33,33,61,28,5
"16",29,6,1,3,1000,55,27,57,30,5
"17",29,6,2,3,1000,55,54,61,7,5
"18",29,6,3,3,1000,55,57,56,1,5
"19",29,7,1,3,1000,26,2,65,63,5
"20",29,7,2,3,1000,26,59,62,3,5
"21",29,7,3,3,1000,26,4,60,56,5
"22",29,8,1,3,1000,42,23,61,38,5
"23",29,8,2,3,1000,42,68,63,5,5
"24",29,8,3,3,1000,42,1,56,55,5
"25",29,9,1,3,100,40,18,57,39,5
"26",29,9,2,3,100,40,32,56,24,5
"27",29,9,3,3,100,40,47,59,12,5
"28",29,10,1,3,1000,78,58,60,2,5
"29",29,10,2,3,1000,78,74,61,13,5
"30",29,10,3,3,1000,78,96,56,40,5
"31",29,11,1,3,1,40,41,55,14,5
"32",29,11,2,3,1,40,39,56,17,5
"33",29,11,3,3,1,40,40,55,15,5
"34",29,12,1,3,0.1,33,33,59,26,5
"35",29,12,2,3,0.1,33,33,56,23,5
"36",29,12,3,3,0.1,33,33,56,23,5
"37",29,13,1,3,1000,73,83,55,28,5
"38",29,13,2,3,1000,73,67,55,12,5
"39",29,13,3,3,1000,73,40,57,17,5
"40",29,14,1,3,0.1,33,34,53,19,5
"41",29,14,2,3,0.1,33,33,56,23,5
"42",29,14,3,3,0.1,33,33,59,26,5
"43",29,15,1,3,0.1,75,75,59,16,5
"44",29,15,2,3,0.1,75,75,60,15,5
"45",29,15,3,3,0.1,75,75,56,19,5
"46",29,16,1,3,1000,43,52,55,3,5
"47",29,16,2,3,1000,43,40,55,15,5
"48",29,16,3,3,1000,43,42,58,16,5
"49",29,17,1,3,100,42,44,55,11,5
"50",29,17,2,3,100,42,37,56,19,5
"51",29,17,3,3,100,42,38,56,18,5
"52",29,18,1,3,1,57,59,54,5,5
"53",29,18,2,3,1,57,59,57,2,5
"54",29,18,3,3,1,57,56,55,1,5
"55",29,19,1,3,10,67,61,55,6,5
"56",29,19,2,3,10,67,71,57,14,5
"57",29,19,3,3,10,67,66,54,12,5
"58",29,20,1,3,0.1,46,46,55,9,5
"59",29,20,2,3,0.1,46,46,54,8,5
"60",29,20,3,3,0.1,46,46,54,8,5
"61",29,21,1,3,1,52,52,55,3,5
"62",29,21,2,3,1,52,52,57,5,5
"63",29,21,3,3,1,52,51,57,6,5
"64",29,22,1,3,10,37,36,57,21,5
"65",29,22,2,3,10,37,38,56,18,5
"66",29,22,3,3,10,37,34,58,24,5
"67",29,23,1,3,10,76,73,55,18,5
"68",29,23,2,3,10,76,78,55,23,5
"69",29,23,3,3,10,76,81,58,23,5
"70",29,24,1,3,1,43,42,56,14,5
"71",29,24,2,3,1,43,42,56,14,5
"72",29,24,3,3,1,43,44,58,14,5
"73",29,25,1,3,10,37,37,56,19,5
"74",29,25,2,3,10,37,37,56,19,5
"75",29,25,3,3,10,37,37,57,20,5
"76",29,26,1,3,10,55,52,56,4,5
"77",29,26,2,3,10,55,55,57,2,5
"78",29,26,3,3,10,55,49,56,7,5
"79",29,27,1,3,100,71,74,58,16,5
"80",29,27,2,3,100,71,62,56,6,5
"81",29,27,3,3,100,71,93,56,37,5
"82",29,28,1,3,1000,67,32,57,25,5
"83",29,28,2,3,1000,67,86,55,31,5
"84",29,28,3,3,1000,67,21,58,37,5
"85",29,29,1,1,100,48,42,59,17,5
