"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",10,1,1,4,100,59,47,58,11,5
"2",10,1,2,4,100,59,49,53,4,5
"3",10,1,3,4,100,59,50,50,0,5
"4",10,1,4,4,100,59,51,27,24,5
"5",10,2,1,3,1000,21,74,55,19,5
"6",10,2,2,3,1000,21,15,59,44,5
"7",10,2,3,3,1000,21,27,43,16,5
"8",10,3,1,4,1,64,64,61,3,5
"9",10,3,2,4,1,64,66,65,1,5
"10",10,3,3,4,1,64,64,73,9,5
"11",10,3,4,4,1,64,66,40,26,5
"12",10,4,1,6,10,69,69,42,27,5
"13",10,4,2,6,10,69,69,59,10,5
"14",10,4,3,6,10,69,70,56,14,5
"15",10,4,4,6,10,69,67,45,22,5
"16",10,4,5,6,10,69,65,46,19,5
"17",10,4,6,6,10,69,74,53,21,5
"18",10,5,1,6,1,63,63,52,11,5
"19",10,5,2,6,1,63,64,47,17,5
"20",10,5,3,6,1,63,61,53,8,5
"21",10,5,4,6,1,63,62,44,18,5
"22",10,5,5,6,1,63,65,57,8,5
"23",10,5,6,6,1,63,64,40,24,5
"24",10,6,1,13,10,45,39,52,13,5
"25",10,6,2,13,10,45,48,44,4,5
"26",10,6,3,13,10,45,40,55,15,5
"27",10,6,4,13,10,45,47,42,5,5
"28",10,6,5,13,10,45,41,62,21,5
"29",10,6,6,13,10,45,45,42,3,5
"30",10,6,7,13,10,45,48,54,6,5
"31",10,6,8,13,10,45,45,48,3,5
"32",10,6,9,13,10,45,45,49,4,5
"33",10,6,10,13,10,45,42,41,1,5
"34",10,6,11,13,10,45,44,56,12,5
"35",10,6,12,13,10,45,50,42,8,5
"36",10,6,13,13,10,45,40,65,25,5
"37",10,7,1,10,100,41,61,53,8,5
"38",10,7,2,10,100,41,62,44,18,5
"39",10,7,3,10,100,41,63,49,14,5
"40",10,7,4,10,100,41,61,9,52,5
"41",10,7,5,10,100,41,12,52,40,5
"42",10,7,6,10,100,41,31,46,15,5
"43",10,7,7,10,100,41,61,51,10,5
"44",10,7,8,10,100,41,38,47,9,5
"45",10,7,9,10,100,41,46,39,7,5
"46",10,7,10,10,100,41,32,60,28,5
"47",10,8,1,4,1000,34,30,54,24,5
"48",10,8,2,4,1000,34,76,40,36,5
"49",10,8,3,4,1000,34,73,57,16,5
"50",10,8,4,4,1000,34,82,43,39,5
"51",10,9,1,8,100,39,33,56,23,5
"52",10,9,2,8,100,39,22,46,24,5
"53",10,9,3,8,100,39,59,56,3,5
"54",10,9,4,8,100,39,49,47,2,5
"55",10,9,5,8,100,39,37,41,4,5
"56",10,9,6,8,100,39,38,35,3,5
"57",10,9,7,8,100,39,27,30,3,5
"58",10,9,8,8,100,39,43,22,21,5
"59",10,10,1,2,0.1,39,39,45,6,5
"60",10,10,2,2,0.1,39,40,51,11,5
