"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",15,1,1,11,1,63,63,65,2,6
"2",15,1,2,11,1,63,64,62,2,6
"3",15,1,3,11,1,63,63,65,2,6
"4",15,1,4,11,1,63,64,62,2,6
"5",15,1,5,11,1,63,63,63,0,6
"6",15,1,6,11,1,63,62,64,2,6
"7",15,1,7,11,1,63,63,63,0,6
"8",15,1,8,11,1,63,63,64,1,6
"9",15,1,9,11,1,63,62,64,2,6
"10",15,1,10,11,1,63,62,63,1,6
"11",15,1,11,11,1,63,66,63,3,6
"12",15,2,1,7,0.1,29,30,44,14,6
"13",15,2,2,7,0.1,29,29,30,1,6
"14",15,2,3,7,0.1,29,28,28,0,6
"15",15,2,4,7,0.1,29,29,30,1,6
"16",15,2,5,7,0.1,29,29,30,1,6
"17",15,2,6,7,0.1,29,29,29,0,6
"18",15,2,7,7,0.1,29,29,29,0,6
"19",15,3,1,5,10,39,42,15,27,3
"20",15,3,2,5,10,39,37,42,5,3
"21",15,3,3,5,10,39,34,32,2,3
"22",15,3,4,5,10,39,30,30,0,3
"23",15,3,5,5,10,39,38,29,9,3
"24",15,4,1,4,1000,73,71,80,9,2
"25",15,4,2,4,1000,73,95,70,25,2
"26",15,4,3,4,1000,73,100,82,18,2
"27",15,4,4,4,1000,73,54,100,46,2
"28",15,5,1,8,1,76,74,70,4,5
"29",15,5,2,8,1,76,75,74,1,5
"30",15,5,3,8,1,76,76,76,0,5
"31",15,5,4,8,1,76,77,77,0,5
"32",15,5,5,8,1,76,74,78,4,5
"33",15,5,6,8,1,76,76,75,1,5
"34",15,5,7,8,1,76,75,78,3,5
"35",15,5,8,8,1,76,76,76,0,5
"36",15,6,1,5,1,40,41,82,41,5
"37",15,6,2,5,1,40,41,41,0,5
"38",15,6,3,5,1,40,39,40,1,5
"39",15,6,4,5,1,40,40,37,3,5
"40",15,6,5,5,1,40,41,40,1,5
"41",15,7,1,7,10,63,65,51,14,4
"42",15,7,2,7,10,63,69,65,4,4
"43",15,7,3,7,10,63,63,69,6,4
"44",15,7,4,7,10,63,65,63,2,4
"45",15,7,5,7,10,63,57,65,8,4
"46",15,7,6,7,10,63,66,57,9,4
"47",15,7,7,7,10,63,61,65,4,4
"48",15,8,1,3,1000,45,36,76,40,2
"49",15,8,2,3,1000,45,73,36,37,2
"50",15,8,3,3,1000,45,3,44,41,2
"51",15,9,1,4,1000,74,99,68,31,3
"52",15,9,2,4,1000,74,88,99,11,3
"53",15,9,3,4,1000,74,44,77,33,3
"54",15,9,4,4,1000,74,98,11,87,3
"55",15,10,1,19,1,57,57,80,23,6
"56",15,10,2,19,1,57,58,57,1,6
"57",15,10,3,19,1,57,57,59,2,6
"58",15,10,4,19,1,57,58,56,2,6
"59",15,10,5,19,1,57,57,57,0,6
"60",15,10,6,19,1,57,57,58,1,6
"61",15,10,7,19,1,57,56,57,1,6
"62",15,10,8,19,1,57,56,57,1,6
"63",15,10,9,19,1,57,58,58,0,6
"64",15,10,10,19,1,57,59,57,2,6
"65",15,10,11,19,1,57,57,56,1,6
"66",15,10,12,19,1,57,57,57,0,6
"67",15,10,13,19,1,57,56,58,2,6
"68",15,10,14,19,1,57,58,56,2,6
"69",15,10,15,19,1,57,57,58,1,6
"70",15,10,16,19,1,57,57,57,0,6
"71",15,10,17,19,1,57,56,58,2,6
"72",15,10,18,19,1,57,57,56,1,6
"73",15,10,19,19,1,57,56,57,1,6
"74",15,11,1,4,1000,31,38,66,28,4
"75",15,11,2,4,1000,31,35,34,1,4
"76",15,11,3,4,1000,31,39,36,3,4
"77",15,11,4,4,1000,31,26,37,11,4
"78",15,12,1,6,100,40,35,36,1,3
"79",15,12,2,6,100,40,34,35,1,3
"80",15,12,3,6,100,40,48,33,15,3
"81",15,12,4,6,100,40,42,40,2,3
"82",15,12,5,6,100,40,39,40,1,3
"83",15,12,6,6,100,40,21,38,17,3
"84",15,13,1,3,1000,73,40,54,14,2
"85",15,13,2,3,1000,73,57,40,17,2
"86",15,13,3,3,1000,73,78,69,9,2
"87",15,14,1,5,1000,70,8,73,65,2
"88",15,14,2,5,1000,70,30,8,22,2
"89",15,14,3,5,1000,70,55,54,1,2
"90",15,14,4,5,1000,70,68,76,8,2
"91",15,14,5,5,1000,70,35,95,60,2
"92",15,15,1,6,0.1,41,41,82,41,7
"93",15,15,2,6,0.1,41,41,41,0,7
"94",15,15,3,6,0.1,41,41,41,0,7
"95",15,15,4,6,0.1,41,41,41,0,7
"96",15,15,5,6,0.1,41,41,41,0,7
"97",15,15,6,6,0.1,41,41,41,0,7
