"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",10,1,1,13,1,58,58,60,2,6
"2",10,1,2,13,1,58,58,58,0,6
"3",10,1,3,13,1,58,60,58,2,6
"4",10,1,4,13,1,58,56,59,3,6
"5",10,1,5,13,1,58,59,58,1,6
"6",10,1,6,13,1,58,59,59,0,6
"7",10,1,7,13,1,58,58,59,1,6
"8",10,1,8,13,1,58,58,59,1,6
"9",10,1,9,13,1,58,60,59,1,6
"10",10,1,10,13,1,58,58,59,1,6
"11",10,1,11,13,1,58,59,58,1,6
"12",10,1,12,13,1,58,60,58,2,6
"13",10,1,13,13,1,58,58,58,0,6
"14",10,2,1,17,1,52,52,40,12,6
"15",10,2,2,17,1,52,52,52,0,6
"16",10,2,3,17,1,52,51,52,1,6
"17",10,2,4,17,1,52,52,52,0,6
"18",10,2,5,17,1,52,52,52,0,6
"19",10,2,6,17,1,52,53,52,1,6
"20",10,2,7,17,1,52,53,52,1,6
"21",10,2,8,17,1,52,52,52,0,6
"22",10,2,9,17,1,52,53,52,1,6
"23",10,2,10,17,1,52,52,53,1,6
"24",10,2,11,17,1,52,53,52,1,6
"25",10,2,12,17,1,52,51,52,1,6
"26",10,2,13,17,1,52,52,52,0,6
"27",10,2,14,17,1,52,52,52,0,6
"28",10,2,15,17,1,52,52,52,0,6
"29",10,2,16,17,1,52,52,52,0,6
"30",10,2,17,17,1,52,53,52,1,6
"31",10,3,1,11,10,71,70,63,7,5
"32",10,3,2,11,10,71,73,71,2,5
"33",10,3,3,11,10,71,74,72,2,5
"34",10,3,4,11,10,71,73,74,1,5
"35",10,3,5,11,10,71,70,73,3,5
"36",10,3,6,11,10,71,70,73,3,5
"37",10,3,7,11,10,71,67,71,4,5
"38",10,3,8,11,10,71,70,70,0,5
"39",10,3,9,11,10,71,71,70,1,5
"40",10,3,10,11,10,71,72,69,3,5
"41",10,3,11,11,10,71,70,71,1,5
"42",10,4,1,8,10,71,78,22,56,3
"43",10,4,2,8,10,71,75,76,1,3
"44",10,4,3,8,10,71,73,75,2,3
"45",10,4,4,8,10,71,65,75,10,3
"46",10,4,5,8,10,71,69,70,1,3
"47",10,4,6,8,10,71,70,68,2,3
"48",10,4,7,8,10,71,68,70,2,3
"49",10,4,8,8,10,71,76,73,3,3
"50",10,5,1,4,1000,31,9,39,30,1
"51",10,5,2,4,1000,31,4,11,7,1
"52",10,5,3,4,1000,31,71,6,65,1
"53",10,5,4,4,1000,31,10,33,23,1
"54",10,6,1,23,1,32,32,31,1,5
"55",10,6,2,23,1,32,33,34,1,5
"56",10,6,3,23,1,32,33,34,1,5
"57",10,6,4,23,1,32,33,32,1,5
"58",10,6,5,23,1,32,31,32,1,5
"59",10,6,6,23,1,32,31,31,0,5
"60",10,6,7,23,1,32,34,30,4,5
"61",10,6,8,23,1,32,32,34,2,5
"62",10,6,9,23,1,32,33,30,3,5
"63",10,6,10,23,1,32,34,32,2,5
"64",10,6,11,23,1,32,32,34,2,5
"65",10,6,12,23,1,32,34,33,1,5
"66",10,6,13,23,1,32,32,33,1,5
"67",10,6,14,23,1,32,32,33,1,5
"68",10,6,15,23,1,32,32,32,0,5
"69",10,6,16,23,1,32,33,32,1,5
"70",10,6,17,23,1,32,32,32,0,5
"71",10,6,18,23,1,32,32,33,1,5
"72",10,6,19,23,1,32,31,33,2,5
"73",10,6,20,23,1,32,32,33,1,5
"74",10,6,21,23,1,32,32,32,0,5
"75",10,6,22,23,1,32,34,32,2,5
"76",10,6,23,23,1,32,32,33,1,5
"77",10,7,1,3,1000,23,24,76,52,1
"78",10,7,2,3,1000,23,8,25,17,1
"79",10,7,3,3,1000,23,47,15,32,1
"80",10,8,1,3,1000,25,46,50,4,1
"81",10,8,2,3,1000,25,82,45,37,1
"82",10,8,3,3,1000,25,46,67,21,1
"83",10,9,1,10,10,58,60,44,16,4
"84",10,9,2,10,10,58,58,61,3,4
"85",10,9,3,10,10,58,57,60,3,4
"86",10,9,4,10,10,58,59,57,2,4
"87",10,9,5,10,10,58,58,58,0,4
"88",10,9,6,10,10,58,56,58,2,4
"89",10,9,7,10,10,58,56,57,1,4
"90",10,9,8,10,10,58,54,57,3,4
"91",10,9,9,10,10,58,60,56,4,4
"92",10,9,10,10,10,58,61,58,3,4
"93",10,10,1,7,10,78,76,42,34,2
"94",10,10,2,7,10,78,82,75,7,2
"95",10,10,3,7,10,78,83,79,4,2
"96",10,10,4,7,10,78,80,81,1,2
"97",10,10,5,7,10,78,78,80,2,2
"98",10,10,6,7,10,78,71,79,8,2
"99",10,10,7,7,10,78,81,73,8,2
