"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",15,1,1,4,100,40,46,50,4,5
"2",15,1,2,4,100,40,33,48,15,5
"3",15,1,3,4,100,40,47,39,8,5
"4",15,1,4,4,100,40,26,44,18,5
"5",15,2,1,6,100,26,43,50,7,6
"6",15,2,2,6,100,26,40,45,5,6
"7",15,2,3,6,100,26,29,42,13,6
"8",15,2,4,6,100,26,31,39,8,6
"9",15,2,5,6,100,26,28,35,7,6
"10",15,2,6,6,100,26,33,33,0,6
"11",15,3,1,6,10,75,79,50,29,5
"12",15,3,2,6,10,75,72,68,4,5
"13",15,3,3,6,10,75,75,65,10,5
"14",15,3,4,6,10,75,72,69,3,5
"15",15,3,5,6,10,75,76,72,4,5
"16",15,3,6,6,10,75,75,73,2,5
"17",15,4,1,5,1000,50,68,50,18,4
"18",15,4,2,5,1000,50,54,67,13,4
"19",15,4,3,5,1000,50,38,61,23,4
"20",15,4,4,5,1000,50,66,56,10,4
"21",15,4,5,5,1000,50,51,65,14,4
"22",15,5,1,6,10,42,38,49,11,5
"23",15,5,2,6,10,42,41,40,1,5
"24",15,5,3,6,10,42,41,39,2,5
"25",15,5,4,6,10,42,47,41,6,5
"26",15,5,5,6,10,42,43,41,2,5
"27",15,5,6,6,10,42,46,41,5,5
"28",15,6,1,6,10,37,40,50,10,5
"29",15,6,2,6,10,37,38,45,7,5
"30",15,6,3,6,10,37,37,43,6,5
"31",15,6,4,6,10,37,38,39,1,5
"32",15,6,5,6,10,37,34,37,3,5
"33",15,6,6,6,10,37,42,32,10,5
"34",15,7,1,6,1000,57,10,50,40,3
"35",15,7,2,6,1000,57,28,16,12,3
"36",15,7,3,6,1000,57,53,21,32,3
"37",15,7,4,6,1000,57,76,33,43,3
"38",15,7,5,6,1000,57,73,47,26,3
"39",15,7,6,6,1000,57,60,70,10,3
"40",15,8,1,3,1,38,38,50,12,7
"41",15,8,2,3,1,38,38,38,0,7
"42",15,8,3,3,1,38,38,36,2,7
"43",15,9,1,5,1000,61,38,50,12,4
"44",15,9,2,5,1000,61,42,38,4,4
"45",15,9,3,5,1000,61,69,40,29,4
"46",15,9,4,5,1000,61,38,49,11,4
"47",15,9,5,5,1000,61,27,43,16,4
"48",15,10,1,4,1000,48,30,49,19,3
"49",15,10,2,4,1000,48,63,36,27,3
"50",15,10,3,4,1000,48,34,55,21,3
"51",15,10,4,4,1000,48,87,44,43,3
"52",15,11,1,8,1,73,74,40,34,6
"53",15,11,2,8,1,73,73,66,7,6
"54",15,11,3,8,1,73,74,75,1,6
"55",15,11,4,8,1,73,73,74,1,6
"56",15,11,5,8,1,73,75,74,1,6
"57",15,11,6,8,1,73,73,75,2,6
"58",15,11,7,8,1,73,73,74,1,6
"59",15,11,8,8,1,73,72,74,2,6
"60",15,12,1,5,1000,62,92,50,42,3
"61",15,12,2,5,1000,62,37,84,47,3
"62",15,12,3,5,1000,62,61,56,5,3
"63",15,12,4,5,1000,62,40,59,19,3
"64",15,12,5,5,1000,62,79,43,36,3
"65",15,13,1,5,10,42,42,49,7,7
"66",15,13,2,5,10,42,37,40,3,7
"67",15,13,3,5,10,42,39,36,3,7
"68",15,13,4,5,10,42,44,39,5,7
"69",15,13,5,5,10,42,41,41,0,7
"70",15,14,1,4,1,29,27,51,24,6
"71",15,14,2,4,1,29,29,28,1,6
"72",15,14,3,4,1,29,29,26,3,6
"73",15,14,4,4,1,29,29,29,0,6
"74",15,15,1,2,0.1,57,57,50,7,5
"75",15,15,2,2,0.1,57,56,57,1,5
