"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",18,1,1,3,1,76,76,46,30,7
"2",18,1,2,3,1,76,75,76,1,7
"3",18,1,3,3,1,76,75,75,0,7
"4",18,2,1,3,1,27,28,51,23,6
"5",18,2,2,3,1,27,26,28,2,6
"6",18,2,3,3,1,27,27,27,0,6
"7",18,3,1,3,0.1,25,25,48,23,5
"8",18,3,2,3,0.1,25,25,25,0,5
"9",18,3,3,3,0.1,25,25,25,0,5
"10",18,4,1,6,10,25,26,47,21,5
"11",18,4,2,6,10,25,21,26,5,5
"12",18,4,3,6,10,25,27,24,3,5
"13",18,4,4,6,10,25,26,25,1,5
"14",18,4,5,6,10,25,19,26,7,5
"15",18,4,6,6,10,25,26,25,1,5
"16",18,5,1,3,0.1,66,66,47,19,4
"17",18,5,2,3,0.1,66,66,66,0,4
"18",18,5,3,3,0.1,66,66,66,0,4
"19",18,6,1,12,1000,38,59,60,1,1
"20",18,6,2,12,1000,38,54,59,5,1
"21",18,6,3,12,1000,38,24,57,33,1
"22",18,6,4,12,1000,38,38,52,14,1
"23",18,6,5,12,1000,38,30,44,14,1
"24",18,6,6,12,1000,38,12,38,26,1
"25",18,6,7,12,1000,38,13,25,12,1
"26",18,6,8,12,1000,38,30,20,10,1
"27",18,6,9,12,1000,38,82,26,56,1
"28",18,6,10,12,1000,38,72,39,33,1
"29",18,6,11,12,1000,38,77,46,31,1
"30",18,6,12,12,1000,38,51,57,6,1
"31",18,7,1,8,1000,55,22,44,22,2
"32",18,7,2,8,1000,55,71,22,49,2
"33",18,7,3,8,1000,55,59,40,19,2
"34",18,7,4,8,1000,55,60,44,16,2
"35",18,7,5,8,1000,55,39,52,13,2
"36",18,7,6,8,1000,55,84,45,39,2
"37",18,7,7,8,1000,55,68,48,20,2
"38",18,7,8,8,1000,55,49,52,3,2
"39",18,8,1,4,1,30,28,44,16,4
"40",18,8,2,4,1,30,31,28,3,4
"41",18,8,3,4,1,30,29,30,1,4
"42",18,8,4,4,1,30,32,29,3,4
"43",18,9,1,4,100,41,48,43,5,4
"44",18,9,2,4,100,41,39,48,9,4
"45",18,9,3,4,100,41,25,44,19,4
"46",18,9,4,4,100,41,42,37,5,4
"47",18,10,1,3,1,23,22,47,25,3
"48",18,10,2,3,1,23,22,22,0,3
"49",18,10,3,3,1,23,23,22,1,3
"50",18,11,1,3,1,39,39,57,18,3
"51",18,11,2,3,1,39,38,39,1,3
"52",18,11,3,3,1,39,39,39,0,3
"53",18,12,1,6,100,60,61,28,33,6
"54",18,12,2,6,100,60,65,61,4,6
"55",18,12,3,6,100,60,58,63,5,6
"56",18,12,4,6,100,60,57,61,4,6
"57",18,12,5,6,100,60,64,59,5,6
"58",18,12,6,6,100,60,61,61,0,6
"59",18,13,1,6,10,24,26,74,48,6
"60",18,13,2,6,10,24,29,26,3,6
"61",18,13,3,6,10,24,22,27,5,6
"62",18,13,4,6,10,24,18,26,8,6
"63",18,13,5,6,10,24,27,22,5,6
"64",18,13,6,6,10,24,25,24,1,6
"65",18,14,1,3,1,66,66,20,46,2
"66",18,14,2,3,1,66,67,65,2,2
"67",18,14,3,3,1,66,66,66,0,2
"68",18,15,1,3,1,49,47,38,9,3
"69",18,15,2,3,1,49,51,47,4,3
"70",18,15,3,3,1,49,49,49,0,3
"71",18,16,1,9,100,31,36,34,2,7
"72",18,16,2,9,100,31,28,36,8,7
"73",18,16,3,9,100,31,23,33,10,7
"74",18,16,4,9,100,31,18,26,8,7
"75",18,16,5,9,100,31,40,23,17,7
"76",18,16,6,9,100,31,24,30,6,7
"77",18,16,7,9,100,31,26,28,2,7
"78",18,16,8,9,100,31,45,28,17,7
"79",18,16,9,9,100,31,32,29,3,7
"80",18,17,1,4,10,45,43,41,2,4
"81",18,17,2,4,10,45,45,43,2,4
"82",18,17,3,4,10,45,44,44,0,4
"83",18,17,4,4,10,45,44,44,0,4
"84",18,18,1,3,1000,41,63,65,2,4
"85",18,18,2,3,1000,41,57,63,6,4
"86",18,18,3,3,1000,41,18,60,42,4
