"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",5,1,1,3,10,61,65,71,6,6
"2",5,1,2,3,10,61,58,86,28,6
"3",5,1,3,3,10,61,66,35,31,6
"4",5,2,1,3,1000,33,38,72,34,6
"5",5,2,2,3,1000,33,4,70,66,6
"6",5,2,3,3,1000,33,20,74,54,6
"7",5,3,1,47,1000,73,75,68,7,7
"8",5,3,2,47,1000,73,83,72,11,7
"9",5,3,3,47,1000,73,52,68,16,7
"10",5,3,4,47,1000,73,95,75,20,7
"11",5,3,5,47,1000,73,97,66,31,7
"12",5,3,6,47,1000,73,20,73,53,7
"13",5,3,7,47,1000,73,78,95,17,7
"14",5,3,8,47,1000,73,87,100,13,7
"15",5,3,9,47,1000,73,53,9,44,7
"16",5,3,10,47,1000,73,47,80,33,7
"17",5,3,11,47,1000,73,51,58,7,7
"18",5,3,12,47,1000,73,45,61,16,7
"19",5,3,13,47,1000,73,48,55,7,7
"20",5,3,14,47,1000,73,56,87,31,7
"21",5,3,15,47,1000,73,51,70,19,7
"22",5,3,16,47,1000,73,75,61,14,7
"23",5,3,17,47,1000,73,67,35,32,7
"24",5,3,18,47,1000,73,50,78,28,7
"25",5,3,19,47,1000,73,70,88,18,7
"26",5,3,20,47,1000,73,86,84,2,7
"27",5,3,21,47,1000,73,81,56,25,7
"28",5,3,22,47,1000,73,74,78,4,7
"29",5,3,23,47,1000,73,56,64,8,7
"30",5,3,24,47,1000,73,80,21,59,7
"31",5,3,25,47,1000,73,80,34,46,7
"32",5,3,26,47,1000,73,55,84,29,7
"33",5,3,27,47,1000,73,57,55,2,7
"34",5,3,28,47,1000,73,52,55,3,7
"35",5,3,29,47,1000,73,95,55,40,7
"36",5,3,30,47,1000,73,80,55,25,7
"37",5,3,31,47,1000,73,53,80,27,7
"38",5,3,32,47,1000,73,32,80,48,7
"39",5,3,33,47,1000,73,88,80,8,7
"40",5,3,34,47,1000,73,32,62,30,7
"41",5,3,35,47,1000,73,68,79,11,7
"42",5,3,36,47,1000,73,34,76,42,7
"43",5,3,37,47,1000,73,13,65,52,7
"44",5,3,38,47,1000,73,76,26,50,7
"45",5,3,39,47,1000,73,52,70,18,7
"46",5,3,40,47,1000,73,63,60,3,7
"47",5,3,41,47,1000,73,56,65,9,7
"48",5,3,42,47,1000,73,31,45,14,7
"49",5,3,43,47,1000,73,51,55,4,7
"50",5,3,44,47,1000,73,88,54,34,7
"51",5,3,45,47,1000,73,89,77,12,7
"52",5,3,46,47,1000,73,83,91,8,7
"53",5,3,47,47,1000,73,78,78,0,7
"54",5,4,1,12,1,37,36,76,40,7
"55",5,4,2,12,1,37,36,88,52,7
"56",5,4,3,12,1,37,38,62,24,7
"57",5,4,4,12,1,37,39,71,32,7
"58",5,4,5,12,1,37,38,40,2,7
"59",5,4,6,12,1,37,38,45,7,7
"60",5,4,7,12,1,37,38,54,16,7
"61",5,4,8,12,1,37,40,43,3,7
"62",5,4,9,12,1,37,38,43,5,7
"63",5,4,10,12,1,37,39,40,1,7
"64",5,4,11,12,1,37,36,42,6,7
"65",5,4,12,12,1,37,39,39,0,7
"66",5,5,1,1,100,59,70,57,13,7
