"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",7,1,1,3,1,71,70,86,16,6
"2",7,1,2,3,1,71,70,68,2,6
"3",7,1,3,3,1,71,70,31,39,6
"4",7,2,1,3,100,76,74,76,2,6
"5",7,2,2,3,100,76,74,69,5,6
"6",7,2,3,3,100,76,68,74,6,6
"7",7,3,1,6,100,56,50,19,31,5
"8",7,3,2,6,100,56,51,72,21,5
"9",7,3,3,6,100,56,66,66,0,5
"10",7,3,4,6,100,56,64,85,21,5
"11",7,3,5,6,100,56,47,33,14,5
"12",7,3,6,6,100,56,52,77,25,5
"13",7,4,1,3,1000,68,83,78,5,7
"14",7,4,2,3,1000,68,82,70,12,7
"15",7,4,3,3,1000,68,39,42,3,7
"16",7,5,1,3,10,47,51,65,14,3
"17",7,5,2,3,10,47,46,75,29,3
"18",7,5,3,3,10,47,54,43,11,3
"19",7,6,1,11,1,25,26,68,42,1
"20",7,6,2,11,1,25,25,65,40,1
"21",7,6,3,11,1,25,24,10,14,1
"22",7,6,4,11,1,25,25,56,31,1
"23",7,6,5,11,1,25,25,27,2,1
"24",7,6,6,11,1,25,24,76,52,1
"25",7,6,7,11,1,25,25,40,15,1
"26",7,6,8,11,1,25,26,74,48,1
"27",7,6,9,11,1,25,25,31,6,1
"28",7,6,10,11,1,25,26,44,18,1
"29",7,6,11,11,1,25,24,34,10,1
"30",7,7,1,11,10,54,52,91,39,6
"31",7,7,2,11,10,54,54,79,25,6
"32",7,7,3,11,10,54,56,57,1,6
"33",7,7,4,11,10,54,52,65,13,6
"34",7,7,5,11,10,54,47,63,16,6
"35",7,7,6,11,10,54,55,86,31,6
"36",7,7,7,11,10,54,58,66,8,6
"37",7,7,8,11,10,54,57,58,1,6
"38",7,7,9,11,10,54,55,41,14,6
"39",7,7,10,11,10,54,53,70,17,6
"40",7,7,11,11,10,54,53,59,6,6
