"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",20,1,1,4,10,35,36,75,39,6
"2",20,1,2,4,10,35,36,80,44,6
"3",20,1,3,4,10,35,39,36,3,6
"4",20,1,4,4,10,35,35,72,37,6
"5",20,2,1,3,1000,54,25,80,55,6
"6",20,2,2,3,1000,54,38,28,10,6
"7",20,2,3,3,1000,54,64,84,20,6
"8",20,3,1,3,1,52,52,75,23,5
"9",20,3,2,3,1,52,51,54,3,5
"10",20,3,3,3,1,52,51,61,10,5
"11",20,4,1,3,1000,39,30,66,36,6
"12",20,4,2,3,1000,39,65,67,2,6
"13",20,4,3,3,1000,39,68,58,10,6
"14",20,5,1,3,1,21,21,68,47,5
"15",20,5,2,3,1,21,22,68,46,5
"16",20,5,3,3,1,21,21,66,45,5
"17",20,6,1,3,0.1,78,78,30,48,5
"18",20,6,2,3,0.1,78,78,70,8,5
"19",20,6,3,3,0.1,78,78,77,1,5
"20",20,7,1,3,100,39,32,65,33,6
"21",20,7,2,3,100,39,42,35,7,6
"22",20,7,3,3,100,39,44,35,9,6
"23",20,8,1,4,1000,40,84,68,16,7
"24",20,8,2,4,1000,40,81,71,10,7
"25",20,8,3,4,1000,40,62,74,12,7
"26",20,8,4,4,1000,40,45,31,14,7
"27",20,9,1,3,1,57,57,74,17,3
"28",20,9,2,3,1,57,58,78,20,3
"29",20,9,3,3,1,57,56,75,19,3
"30",20,10,1,3,1,49,48,76,28,6
"31",20,10,2,3,1,49,50,76,26,6
"32",20,10,3,3,1,49,49,77,28,6
"33",20,11,1,3,1000,42,59,79,20,5
"34",20,11,2,3,1000,42,73,81,8,5
"35",20,11,3,3,1000,42,38,76,38,5
"36",20,12,1,3,0.1,61,61,80,19,6
"37",20,12,2,3,0.1,61,61,76,15,6
"38",20,12,3,3,0.1,61,61,78,17,6
"39",20,13,1,3,1,43,45,74,29,5
"40",20,13,2,3,1,43,43,75,32,5
"41",20,13,3,3,1,43,42,82,40,5
"42",20,14,1,3,100,50,42,81,39,6
"43",20,14,2,3,100,50,52,77,25,6
"44",20,14,3,3,100,50,53,76,23,6
"45",20,15,1,3,1,44,44,72,28,6
"46",20,15,2,3,1,44,46,79,33,6
"47",20,15,3,3,1,44,44,76,32,6
"48",20,16,1,5,10,20,25,74,49,5
"49",20,16,2,5,10,20,21,74,53,5
"50",20,16,3,5,10,20,18,79,61,5
"51",20,16,4,5,10,20,22,80,58,5
"52",20,16,5,5,10,20,19,81,62,5
"53",20,17,1,3,1000,72,96,77,19,5
"54",20,17,2,3,1000,72,94,71,23,5
"55",20,17,3,3,1000,72,69,73,4,5
"56",20,18,1,3,10,43,42,65,23,6
"57",20,18,2,3,10,43,44,74,30,6
"58",20,18,3,3,10,43,37,79,42,6
"59",20,19,1,4,10,43,50,78,28,6
"60",20,19,2,4,10,43,42,64,22,6
"61",20,19,3,4,10,43,45,29,16,6
"62",20,19,4,4,10,43,43,74,31,6
"63",20,20,1,1,1000,61,56,73,17,6
