Id,Title,Solved?,Author,Difficulty,Liked,Disliked,Like-Dislike
13081,Stair1,,beta,1.00,2,-4,-2
13080,Learn Select,,BruhMachine,1.50,1,-1,0
13079,Engr101,,tctpatel,1.00,2,-6,-4
13078,Red Tile Green Tile,,BruhMachine,1.20,1,-1,0
13077,Staircase,,ENGR101G3,1.50,1,-1,0
13076,Binary wonderland,,DanielleAnn,1.33,1,-1,0
13075,Star Iteration,,TeamNoName,2.67,0,0,0
13074,Iteration2.0,,uicgroup3,1.50,1,-1,0
13073,F for our fallen F,,TeamNoName,1.80,3,0,3
13072,Iteration & Selection,,uicgroup3,1.50,2,-1,1
13071,Color Blind,,TeamNoName,2.00,1,-1,0
13070,Cross,,TeamNoName,1.40,0,-1,-1
13069,tan,,beta,1.50,1,-1,0
13068,Triangle,,group3_uic,1.80,3,0,3
13067,Country Lane,,group3_uic,2.80,2,-1,1
13066,Skull,,group5engr101,1.60,3,-1,2
13065,sdajfn,,beta,1.00,1,-3,-2
13064,KASA: Puzzle (Iteration),,KASA,2.50,2,0,2
13063,Red Dead Ends,,2pm_group3_uic,1.83,4,0,4
13062,Challenge Puzzle #1,,group5,1.00,1,-4,-3
13061,x mark with star,,DanielleAnn,1.40,0,-1,-1
13051,Corazón ,,LidiaFabregas,1.40,1,-1,0
13050,Throwing heart ,,DanielleAnn,2.00,1,-1,0
13049,Simple puzzle,,beta,1.00,3,-5,-2
13048,Iteration and Selection,,uic_group1,1.29,3,-2,1
13047,Robozzlers!,,uic_group1,1.00,3,-3,0
13046,Selection,,uic_group1,1.00,1,-3,-2
13045,Swiggity Swooty,,DanielleAnn,1.33,3,-2,1
13044,selection/iteration,,ENGR101,1.00,1,-3,-2
13043,snake,,ENGR101,1.20,1,-2,-1
13042,Triforce,,DanielleAnn,3.00,1,0,1
13041,Function call,,MDI_ENGR101,1.75,1,0,1
13040,Iteration function call,,agasco3,2.00,2,-1,1
13039,A simple Happy Face,,group10,1.40,1,0,1
13038,KASA: Puzzle (Selection),,KASA,1.25,0,-1,-1
13037,Group4 Iteration and Selection ,,group4,1.33,2,-1,1
13036,KASA: Taking a detour,,KASA,2.25,1,-1,0
13035,Checkerboard,,strelitzia,1.17,2,-1,1
13019,Group_5_Puzzle_3,,ENGR101GROUP5,1.50,5,-4,1
13018,Swing_Man,,ENGR101GROUP5,1.67,2,0,2
13017,Group_5_Puzzle_1,,ENGR101GROUP5,1.17,4,-2,2
13016,Fallen S,,ENGR101,1.33,1,-2,-1
13015,Round about,,strelitzia,1.00,1,-3,-2
13014,Selection,,J_Three,1.71,4,-1,3
13013,Function Call Puzzle!,,KASA,1.67,1,-1,0
13012,Simple Cross,,ESPgroup5,1.57,3,-1,2
13011,Selection(1),,uic_engr101,1.00,3,-3,0
13010,Selection,,uic_engr101,1.40,1,-1,0
13009,Puzzle using Selection,,uic_engr101,1.75,1,0,1
13008,Selection,,agasco3,1.00,2,-4,-2
13007,Iteration,,agasco3,1.00,3,-3,0
13006,Function Call,,agasco3,1.33,1,-1,0
13005,Function Call and Selection,,agasco3,1.00,1,-5,-4
13004,Function Call and Selection,,agasco3,1.13,3,-4,-1
13003,Basic Function Call,,engr101group,1.40,2,-1,1
13002,All 3 in One,,beta,1.00,2,-1,1
13001,Selection + Iteration,,group4,1.67,4,0,4
13000,Easily,,group4,1.50,3,-1,2
12999,Heart ,,group5engr101,1.14,3,-1,2
12998,ENGR101 Call Functions,,engr101_g6,2.75,3,0,3
12997,Cacatus,,ENGR101_G6,2.60,4,0,4
12996,ENGR 101 TUE G2,,garyzhangxd,1.00,3,-5,-2
12995,ENGR 101 G2 puzzle,,garyzhangxd,1.11,3,-5,-2
12994,ENGR 101 TUE G2 puzzle,,garyzhangxd,1.50,2,-1,1
12993,easy one!!,,group4,1.00,7,-2,5
12992,ENGR 101 g2,,garyzhangxd,1.00,3,-4,-1
12991,ENGR 101 G2 selection,,garyzhangxd,1.13,2,-2,0
12990,Csimple,,mdi_engr101,1.50,0,-1,-1
12989,Engr101 Group8,,_Group_8,1.33,5,-1,4
12988,Simple,,mdi_engr101,1.17,2,-2,0
12987,ENGL101 G8 ex.02,,_Group_8,1.00,1,-5,-4
12986,ENG101 ,,_Group_8,1.00,7,-6,1
12985,RNGR101 G8 Function call ex.01,,_Group_8,1.50,2,-2,0
12984,Choice/functions - ENGR101_G6,,ENGR101_G6,1.80,2,-1,1
12983,Iteration,,ENGR101_G6,1.50,3,-1,2
12982,Call the Functions,,Engr101HTW,1.80,3,-1,2
